#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,ReH,ReE,ReHTilde,dvcs
2,19,5.75,1.933,0.368,-0.232,292.5,0.0575315,0.00287658,0.05,-2.48378,2.05692,1.17942,0.0227145
2,20,5.75,1.933,0.368,-0.232,307.5,0.064877,0.00324385,0.05,-2.48378,2.05692,1.17942,0.0227145
2,21,5.75,1.933,0.368,-0.232,322.5,0.0751503,0.00375751,0.05,-2.48378,2.05692,1.17942,0.0227145
2,22,5.75,1.933,0.368,-0.232,337.5,0.0788886,0.00394443,0.05,-2.48378,2.05692,1.17942,0.0227145
2,23,5.75,1.933,0.368,-0.232,352.5,0.0794319,0.00397159,0.05,-2.48378,2.05692,1.17942,0.0227145
3,0,5.75,1.964,0.375,-0.278,7.5,0.0680766,0.00340383,0.05,-2.44312,1.94885,1.04808,0.0196876
3,1,5.75,1.964,0.375,-0.278,22.5,0.0640841,0.0032042,0.05,-2.44312,1.94885,1.04808,0.0196876
3,2,5.75,1.964,0.375,-0.278,37.5,0.0538899,0.0026945,0.05,-2.44312,1.94885,1.04808,0.0196876
3,3,5.75,1.964,0.375,-0.278,52.5,0.0510138,0.00255069,0.05,-2.44312,1.94885,1.04808,0.0196876
3,4,5.75,1.964,0.375,-0.278,67.5,0.0462256,0.00231128,0.05,-2.44312,1.94885,1.04808,0.0196876
3,5,5.75,1.964,0.375,-0.278,82.5,0.0400346,0.00200173,0.05,-2.44312,1.94885,1.04808,0.0196876
3,6,5.75,1.964,0.375,-0.278,97.5,0.0318023,0.00159012,0.05,-2.44312,1.94885,1.04808,0.0196876
3,7,5.75,1.964,0.375,-0.278,112.5,0.0296563,0.00148282,0.05,-2.44312,1.94885,1.04808,0.0196876
3,8,5.75,1.964,0.375,-0.278,127.5,0.0319856,0.00159928,0.05,-2.44312,1.94885,1.04808,0.0196876
3,9,5.75,1.964,0.375,-0.278,142.5,0.030315,0.00151575,0.05,-2.44312,1.94885,1.04808,0.0196876
3,10,5.75,1.964,0.375,-0.278,157.5,0.0285249,0.00142625,0.05,-2.44312,1.94885,1.04808,0.0196876
3,11,5.75,1.964,0.375,-0.278,172.5,0.0274861,0.00137431,0.05,-2.44312,1.94885,1.04808,0.0196876
3,12,5.75,1.964,0.375,-0.278,187.5,0.0266971,0.00133486,0.05,-2.44312,1.94885,1.04808,0.0196876
3,13,5.75,1.964,0.375,-0.278,202.5,0.0279481,0.00139741,0.05,-2.44312,1.94885,1.04808,0.0196876
3,14,5.75,1.964,0.375,-0.278,217.5,0.0288803,0.00144401,0.05,-2.44312,1.94885,1.04808,0.0196876
3,15,5.75,1.964,0.375,-0.278,232.5,0.0319987,0.00159994,0.05,-2.44312,1.94885,1.04808,0.0196876
3,16,5.75,1.964,0.375,-0.278,247.5,0.0308103,0.00154051,0.05,-2.44312,1.94885,1.04808,0.0196876
3,17,5.75,1.964,0.375,-0.278,262.5,0.0364979,0.0018249,0.05,-2.44312,1.94885,1.04808,0.0196876
3,18,5.75,1.964,0.375,-0.278,277.5,0.0421369,0.00210684,0.05,-2.44312,1.94885,1.04808,0.0196876
3,19,5.75,1.964,0.375,-0.278,292.5,0.0494622,0.00247311,0.05,-2.44312,1.94885,1.04808,0.0196876
3,20,5.75,1.964,0.375,-0.278,307.5,0.0522033,0.00261016,0.05,-2.44312,1.94885,1.04808,0.0196876
3,21,5.75,1.964,0.375,-0.278,322.5,0.0582996,0.00291498,0.05,-2.44312,1.94885,1.04808,0.0196876
3,22,5.75,1.964,0.375,-0.278,337.5,0.0659058,0.00329529,0.05,-2.44312,1.94885,1.04808,0.0196876
3,23,5.75,1.964,0.375,-0.278,352.5,0.0704643,0.00352322,0.05,-2.44312,1.94885,1.04808,0.0196876
4,0,5.75,1.986,0.379,-0.323,7.5,0.0673046,0.00336523,0.05,-2.40288,1.85115,0.934471,0.0174894
4,1,5.75,1.986,0.379,-0.323,22.5,0.058483,0.00292415,0.05,-2.40288,1.85115,0.934471,0.0174894
4,2,5.75,1.986,0.379,-0.323,37.5,0.0466621,0.00233311,0.05,-2.40288,1.85115,0.934471,0.0174894
4,3,5.75,1.986,0.379,-0.323,52.5,0.0469736,0.00234868,0.05,-2.40288,1.85115,0.934471,0.0174894
4,4,5.75,1.986,0.379,-0.323,67.5,0.0374695,0.00187347,0.05,-2.40288,1.85115,0.934471,0.0174894
4,5,5.75,1.986,0.379,-0.323,82.5,0.0317108,0.00158554,0.05,-2.40288,1.85115,0.934471,0.0174894
4,6,5.75,1.986,0.379,-0.323,97.5,0.029143,0.00145715,0.05,-2.40288,1.85115,0.934471,0.0174894
4,7,5.75,1.986,0.379,-0.323,112.5,0.0269687,0.00134844,0.05,-2.40288,1.85115,0.934471,0.0174894
4,8,5.75,1.986,0.379,-0.323,127.5,0.0256878,0.00128439,0.05,-2.40288,1.85115,0.934471,0.0174894
4,9,5.75,1.986,0.379,-0.323,142.5,0.0260106,0.00130053,0.05,-2.40288,1.85115,0.934471,0.0174894
4,10,5.75,1.986,0.379,-0.323,157.5,0.0258142,0.00129071,0.05,-2.40288,1.85115,0.934471,0.0174894
4,11,5.75,1.986,0.379,-0.323,172.5,0.0246152,0.00123076,0.05,-2.40288,1.85115,0.934471,0.0174894
4,12,5.75,1.986,0.379,-0.323,187.5,0.0218485,0.00109243,0.05,-2.40288,1.85115,0.934471,0.0174894
4,13,5.75,1.986,0.379,-0.323,202.5,0.0238487,0.00119244,0.05,-2.40288,1.85115,0.934471,0.0174894
4,14,5.75,1.986,0.379,-0.323,217.5,0.0231087,0.00115544,0.05,-2.40288,1.85115,0.934471,0.0174894
4,15,5.75,1.986,0.379,-0.323,232.5,0.0237437,0.00118718,0.05,-2.40288,1.85115,0.934471,0.0174894
4,16,5.75,1.986,0.379,-0.323,247.5,0.0264812,0.00132406,0.05,-2.40288,1.85115,0.934471,0.0174894
4,17,5.75,1.986,0.379,-0.323,262.5,0.0292559,0.0014628,0.05,-2.40288,1.85115,0.934471,0.0174894
4,18,5.75,1.986,0.379,-0.323,277.5,0.0325082,0.00162541,0.05,-2.40288,1.85115,0.934471,0.0174894
4,19,5.75,1.986,0.379,-0.323,292.5,0.0387978,0.00193989,0.05,-2.40288,1.85115,0.934471,0.0174894
4,20,5.75,1.986,0.379,-0.323,307.5,0.0441965,0.00220983,0.05,-2.40288,1.85115,0.934471,0.0174894
4,21,5.75,1.986,0.379,-0.323,322.5,0.0501441,0.00250721,0.05,-2.40288,1.85115,0.934471,0.0174894
4,22,5.75,1.986,0.379,-0.323,337.5,0.0635379,0.00317689,0.05,-2.40288,1.85115,0.934471,0.0174894
4,23,5.75,1.986,0.379,-0.323,352.5,0.0628127,0.00314064,0.05,-2.40288,1.85115,0.934471,0.0174894
5,0,5.75,1.999,0.381,-0.371,7.5,0.0615869,0.00307935,0.05,-2.35988,1.75483,0.82686,0.015766
5,1,5.75,1.999,0.381,-0.371,22.5,0.0513554,0.00256777,0.05,-2.35988,1.75483,0.82686,0.015766
5,2,5.75,1.999,0.381,-0.371,37.5,0.0487156,0.00243578,0.05,-2.35988,1.75483,0.82686,0.015766
5,3,5.75,1.999,0.381,-0.371,52.5,0.0399189,0.00199594,0.05,-2.35988,1.75483,0.82686,0.015766
5,4,5.75,1.999,0.381,-0.371,67.5,0.0353287,0.00176644,0.05,-2.35988,1.75483,0.82686,0.015766
5,5,5.75,1.999,0.381,-0.371,82.5,0.026877,0.00134385,0.05,-2.35988,1.75483,0.82686,0.015766
5,6,5.75,1.999,0.381,-0.371,97.5,0.0240613,0.00120307,0.05,-2.35988,1.75483,0.82686,0.015766
5,7,5.75,1.999,0.381,-0.371,112.5,0.0235687,0.00117844,0.05,-2.35988,1.75483,0.82686,0.015766
5,8,5.75,1.999,0.381,-0.371,127.5,0.0227163,0.00113581,0.05,-2.35988,1.75483,0.82686,0.015766
5,9,5.75,1.999,0.381,-0.371,142.5,0.0210418,0.00105209,0.05,-2.35988,1.75483,0.82686,0.015766
5,10,5.75,1.999,0.381,-0.371,157.5,0.0215708,0.00107854,0.05,-2.35988,1.75483,0.82686,0.015766
5,11,5.75,1.999,0.381,-0.371,172.5,0.0183955,0.000919776,0.05,-2.35988,1.75483,0.82686,0.015766
5,12,5.75,1.999,0.381,-0.371,187.5,0.020746,0.0010373,0.05,-2.35988,1.75483,0.82686,0.015766
5,13,5.75,1.999,0.381,-0.371,202.5,0.0184477,0.000922385,0.05,-2.35988,1.75483,0.82686,0.015766
5,14,5.75,1.999,0.381,-0.371,217.5,0.0223599,0.001118,0.05,-2.35988,1.75483,0.82686,0.015766
5,15,5.75,1.999,0.381,-0.371,232.5,0.022044,0.0011022,0.05,-2.35988,1.75483,0.82686,0.015766
5,16,5.75,1.999,0.381,-0.371,247.5,0.0226934,0.00113467,0.05,-2.35988,1.75483,0.82686,0.015766
5,17,5.75,1.999,0.381,-0.371,262.5,0.0267337,0.00133669,0.05,-2.35988,1.75483,0.82686,0.015766
5,18,5.75,1.999,0.381,-0.371,277.5,0.0300724,0.00150362,0.05,-2.35988,1.75483,0.82686,0.015766
5,19,5.75,1.999,0.381,-0.371,292.5,0.032458,0.0016229,0.05,-2.35988,1.75483,0.82686,0.015766
5,20,5.75,1.999,0.381,-0.371,307.5,0.0369648,0.00184824,0.05,-2.35988,1.75483,0.82686,0.015766
5,21,5.75,1.999,0.381,-0.371,322.5,0.0460868,0.00230434,0.05,-2.35988,1.75483,0.82686,0.015766
5,22,5.75,1.999,0.381,-0.371,337.5,0.0546802,0.00273401,0.05,-2.35988,1.75483,0.82686,0.015766
5,23,5.75,1.999,0.381,-0.371,352.5,0.0607063,0.00303531,0.05,-2.35988,1.75483,0.82686,0.015766
6,0,5.75,2.218,0.345,-0.176,7.5,0.10486,0.00524299,0.05,-2.55945,2.20108,1.3792,0.016768
6,1,5.75,2.218,0.345,-0.176,22.5,0.0996603,0.00498302,0.05,-2.55945,2.20108,1.3792,0.016768
6,2,5.75,2.218,0.345,-0.176,37.5,0.0880892,0.00440446,0.05,-2.55945,2.20108,1.3792,0.016768
6,3,5.75,2.218,0.345,-0.176,52.5,0.083679,0.00418395,0.05,-2.55945,2.20108,1.3792,0.016768
6,4,5.75,2.218,0.345,-0.176,67.5,0.0716961,0.0035848,0.05,-2.55945,2.20108,1.3792,0.016768
6,5,5.75,2.218,0.345,-0.176,82.5,0.0651079,0.0032554,0.05,-2.55945,2.20108,1.3792,0.016768
6,6,5.75,2.218,0.345,-0.176,97.5,0.0652182,0.00326091,0.05,-2.55945,2.20108,1.3792,0.016768
6,7,5.75,2.218,0.345,-0.176,112.5,0.0613128,0.00306564,0.05,-2.55945,2.20108,1.3792,0.016768
6,8,5.75,2.218,0.345,-0.176,127.5,0.0493449,0.00246724,0.05,-2.55945,2.20108,1.3792,0.016768
6,9,5.75,2.218,0.345,-0.176,142.5,0.0441203,0.00220602,0.05,-2.55945,2.20108,1.3792,0.016768
6,10,5.75,2.218,0.345,-0.176,157.5,0.0436624,0.00218312,0.05,-2.55945,2.20108,1.3792,0.016768
6,11,5.75,2.218,0.345,-0.176,172.5,0.0456894,0.00228447,0.05,-2.55945,2.20108,1.3792,0.016768
6,12,5.75,2.218,0.345,-0.176,187.5,0.0458055,0.00229027,0.05,-2.55945,2.20108,1.3792,0.016768
6,13,5.75,2.218,0.345,-0.176,202.5,0.0407227,0.00203614,0.05,-2.55945,2.20108,1.3792,0.016768
6,14,5.75,2.218,0.345,-0.176,217.5,0.0489721,0.0024486,0.05,-2.55945,2.20108,1.3792,0.016768
6,15,5.75,2.218,0.345,-0.176,232.5,0.0527342,0.00263671,0.05,-2.55945,2.20108,1.3792,0.016768
6,16,5.75,2.218,0.345,-0.176,247.5,0.0552451,0.00276226,0.05,-2.55945,2.20108,1.3792,0.016768
6,17,5.75,2.218,0.345,-0.176,262.5,0.0639958,0.00319979,0.05,-2.55945,2.20108,1.3792,0.016768
6,18,5.75,2.218,0.345,-0.176,277.5,0.0657575,0.00328788,0.05,-2.55945,2.20108,1.3792,0.016768
6,19,5.75,2.218,0.345,-0.176,292.5,0.0723267,0.00361634,0.05,-2.55945,2.20108,1.3792,0.016768
6,20,5.75,2.218,0.345,-0.176,307.5,0.0879836,0.00439918,0.05,-2.55945,2.20108,1.3792,0.016768
6,21,5.75,2.218,0.345,-0.176,322.5,0.0941822,0.00470911,0.05,-2.55945,2.20108,1.3792,0.016768
6,22,5.75,2.218,0.345,-0.176,337.5,0.0996821,0.0049841,0.05,-2.55945,2.20108,1.3792,0.016768
6,23,5.75,2.218,0.345,-0.176,352.5,0.10661,0.00533052,0.05,-2.55945,2.20108,1.3792,0.016768
7,0,5.75,2.318,0.363,-0.232,7.5,0.0854961,0.0042748,0.05,-2.5008,2.05692,1.18094,0.0128379
7,1,5.75,2.318,0.363,-0.232,22.5,0.085414,0.0042707,0.05,-2.5008,2.05692,1.18094,0.0128379
7,2,5.75,2.318,0.363,-0.232,37.5,0.0692492,0.00346246,0.05,-2.5008,2.05692,1.18094,0.0128379
7,3,5.75,2.318,0.363,-0.232,52.5,0.0637975,0.00318987,0.05,-2.5008,2.05692,1.18094,0.0128379
7,4,5.75,2.318,0.363,-0.232,67.5,0.0532458,0.00266229,0.05,-2.5008,2.05692,1.18094,0.0128379
7,5,5.75,2.318,0.363,-0.232,82.5,0.0468394,0.00234197,0.05,-2.5008,2.05692,1.18094,0.0128379
7,6,5.75,2.318,0.363,-0.232,97.5,0.0398259,0.0019913,0.05,-2.5008,2.05692,1.18094,0.0128379
7,7,5.75,2.318,0.363,-0.232,112.5,0.0360979,0.00180489,0.05,-2.5008,2.05692,1.18094,0.0128379
7,8,5.75,2.318,0.363,-0.232,127.5,0.0320078,0.00160039,0.05,-2.5008,2.05692,1.18094,0.0128379
7,9,5.75,2.318,0.363,-0.232,142.5,0.0296462,0.00148231,0.05,-2.5008,2.05692,1.18094,0.0128379
7,10,5.75,2.318,0.363,-0.232,157.5,0.0291166,0.00145583,0.05,-2.5008,2.05692,1.18094,0.0128379
7,11,5.75,2.318,0.363,-0.232,172.5,0.027075,0.00135375,0.05,-2.5008,2.05692,1.18094,0.0128379
7,12,5.75,2.318,0.363,-0.232,187.5,0.0301198,0.00150599,0.05,-2.5008,2.05692,1.18094,0.0128379
7,13,5.75,2.318,0.363,-0.232,202.5,0.0309998,0.00154999,0.05,-2.5008,2.05692,1.18094,0.0128379
7,14,5.75,2.318,0.363,-0.232,217.5,0.0291845,0.00145923,0.05,-2.5008,2.05692,1.18094,0.0128379
7,15,5.75,2.318,0.363,-0.232,232.5,0.0331236,0.00165618,0.05,-2.5008,2.05692,1.18094,0.0128379
7,16,5.75,2.318,0.363,-0.232,247.5,0.0352059,0.0017603,0.05,-2.5008,2.05692,1.18094,0.0128379
7,17,5.75,2.318,0.363,-0.232,262.5,0.0412456,0.00206228,0.05,-2.5008,2.05692,1.18094,0.0128379
7,18,5.75,2.318,0.363,-0.232,277.5,0.0439472,0.00219736,0.05,-2.5008,2.05692,1.18094,0.0128379
7,19,5.75,2.318,0.363,-0.232,292.5,0.054345,0.00271725,0.05,-2.5008,2.05692,1.18094,0.0128379
7,20,5.75,2.318,0.363,-0.232,307.5,0.0607262,0.00303631,0.05,-2.5008,2.05692,1.18094,0.0128379
7,21,5.75,2.318,0.363,-0.232,322.5,0.0734108,0.00367054,0.05,-2.5008,2.05692,1.18094,0.0128379
7,22,5.75,2.318,0.363,-0.232,337.5,0.0789494,0.00394747,0.05,-2.5008,2.05692,1.18094,0.0128379
7,23,5.75,2.318,0.363,-0.232,352.5,0.0904827,0.00452414,0.05,-2.5008,2.05692,1.18094,0.0128379
8,0,5.75,2.348,0.368,-0.279,7.5,0.0773658,0.00386829,0.05,-2.46655,1.94659,1.04462,0.0111994
8,1,5.75,2.348,0.368,-0.279,22.5,0.0699251,0.00349625,0.05,-2.46655,1.94659,1.04462,0.0111994
8,2,5.75,2.348,0.368,-0.279,37.5,0.0589295,0.00294647,0.05,-2.46655,1.94659,1.04462,0.0111994
8,3,5.75,2.348,0.368,-0.279,52.5,0.0512796,0.00256398,0.05,-2.46655,1.94659,1.04462,0.0111994
8,4,5.75,2.348,0.368,-0.279,67.5,0.0438562,0.00219281,0.05,-2.46655,1.94659,1.04462,0.0111994
8,5,5.75,2.348,0.368,-0.279,82.5,0.0368403,0.00184201,0.05,-2.46655,1.94659,1.04462,0.0111994
8,6,5.75,2.348,0.368,-0.279,97.5,0.0302777,0.00151389,0.05,-2.46655,1.94659,1.04462,0.0111994
8,7,5.75,2.348,0.368,-0.279,112.5,0.0280156,0.00140078,0.05,-2.46655,1.94659,1.04462,0.0111994
8,8,5.75,2.348,0.368,-0.279,127.5,0.0270185,0.00135093,0.05,-2.46655,1.94659,1.04462,0.0111994
8,9,5.75,2.348,0.368,-0.279,142.5,0.0219504,0.00109752,0.05,-2.46655,1.94659,1.04462,0.0111994
8,10,5.75,2.348,0.368,-0.279,157.5,0.0218282,0.00109141,0.05,-2.46655,1.94659,1.04462,0.0111994
8,11,5.75,2.348,0.368,-0.279,172.5,0.0209572,0.00104786,0.05,-2.46655,1.94659,1.04462,0.0111994
8,12,5.75,2.348,0.368,-0.279,187.5,0.0223381,0.00111691,0.05,-2.46655,1.94659,1.04462,0.0111994
8,13,5.75,2.348,0.368,-0.279,202.5,0.0246604,0.00123302,0.05,-2.46655,1.94659,1.04462,0.0111994
8,14,5.75,2.348,0.368,-0.279,217.5,0.0247178,0.00123589,0.05,-2.46655,1.94659,1.04462,0.0111994
8,15,5.75,2.348,0.368,-0.279,232.5,0.0260357,0.00130178,0.05,-2.46655,1.94659,1.04462,0.0111994
8,16,5.75,2.348,0.368,-0.279,247.5,0.0277493,0.00138746,0.05,-2.46655,1.94659,1.04462,0.0111994
8,17,5.75,2.348,0.368,-0.279,262.5,0.032782,0.0016391,0.05,-2.46655,1.94659,1.04462,0.0111994
8,18,5.75,2.348,0.368,-0.279,277.5,0.0379122,0.00189561,0.05,-2.46655,1.94659,1.04462,0.0111994
8,19,5.75,2.348,0.368,-0.279,292.5,0.0418204,0.00209102,0.05,-2.46655,1.94659,1.04462,0.0111994
8,20,5.75,2.348,0.368,-0.279,307.5,0.048016,0.0024008,0.05,-2.46655,1.94659,1.04462,0.0111994
8,21,5.75,2.348,0.368,-0.279,322.5,0.059824,0.0029912,0.05,-2.46655,1.94659,1.04462,0.0111994
8,22,5.75,2.348,0.368,-0.279,337.5,0.0716331,0.00358165,0.05,-2.46655,1.94659,1.04462,0.0111994
8,23,5.75,2.348,0.368,-0.279,352.5,0.0774358,0.00387179,0.05,-2.46655,1.94659,1.04462,0.0111994
9,0,5.75,2.36,0.371,-0.325,7.5,0.0815904,0.00407952,0.05,-2.42886,1.84698,0.927706,0.0101021
9,1,5.75,2.36,0.371,-0.325,22.5,0.0667856,0.00333928,0.05,-2.42886,1.84698,0.927706,0.0101021
9,2,5.75,2.36,0.371,-0.325,37.5,0.0535915,0.00267958,0.05,-2.42886,1.84698,0.927706,0.0101021
9,3,5.75,2.36,0.371,-0.325,52.5,0.0384335,0.00192168,0.05,-2.42886,1.84698,0.927706,0.0101021
9,4,5.75,2.36,0.371,-0.325,67.5,0.0341117,0.00170559,0.05,-2.42886,1.84698,0.927706,0.0101021
9,5,5.75,2.36,0.371,-0.325,82.5,0.0316061,0.0015803,0.05,-2.42886,1.84698,0.927706,0.0101021
9,6,5.75,2.36,0.371,-0.325,97.5,0.0263355,0.00131678,0.05,-2.42886,1.84698,0.927706,0.0101021
9,7,5.75,2.36,0.371,-0.325,112.5,0.0226288,0.00113144,0.05,-2.42886,1.84698,0.927706,0.0101021
9,8,5.75,2.36,0.371,-0.325,127.5,0.0212537,0.00106269,0.05,-2.42886,1.84698,0.927706,0.0101021
9,9,5.75,2.36,0.371,-0.325,142.5,0.0184081,0.000920406,0.05,-2.42886,1.84698,0.927706,0.0101021
9,10,5.75,2.36,0.371,-0.325,157.5,0.0186504,0.00093252,0.05,-2.42886,1.84698,0.927706,0.0101021
9,11,5.75,2.36,0.371,-0.325,172.5,0.0172587,0.000862937,0.05,-2.42886,1.84698,0.927706,0.0101021
9,12,5.75,2.36,0.371,-0.325,187.5,0.018149,0.000907449,0.05,-2.42886,1.84698,0.927706,0.0101021
9,13,5.75,2.36,0.371,-0.325,202.5,0.019744,0.000987199,0.05,-2.42886,1.84698,0.927706,0.0101021
9,14,5.75,2.36,0.371,-0.325,217.5,0.0201532,0.00100766,0.05,-2.42886,1.84698,0.927706,0.0101021
9,15,5.75,2.36,0.371,-0.325,232.5,0.0200557,0.00100278,0.05,-2.42886,1.84698,0.927706,0.0101021
9,16,5.75,2.36,0.371,-0.325,247.5,0.0219292,0.00109646,0.05,-2.42886,1.84698,0.927706,0.0101021
9,17,5.75,2.36,0.371,-0.325,262.5,0.0240142,0.00120071,0.05,-2.42886,1.84698,0.927706,0.0101021
9,18,5.75,2.36,0.371,-0.325,277.5,0.029674,0.0014837,0.05,-2.42886,1.84698,0.927706,0.0101021
9,19,5.75,2.36,0.371,-0.325,292.5,0.0343594,0.00171797,0.05,-2.42886,1.84698,0.927706,0.0101021
9,20,5.75,2.36,0.371,-0.325,307.5,0.043033,0.00215165,0.05,-2.42886,1.84698,0.927706,0.0101021
9,21,5.75,2.36,0.371,-0.325,322.5,0.0542781,0.00271391,0.05,-2.42886,1.84698,0.927706,0.0101021
9,22,5.75,2.36,0.371,-0.325,337.5,0.0598068,0.00299034,0.05,-2.42886,1.84698,0.927706,0.0101021
9,23,5.75,2.36,0.371,-0.325,352.5,0.0764714,0.00382357,0.05,-2.42886,1.84698,0.927706,0.0101021
10,0,5.75,2.375,0.373,-0.372,7.5,0.0681086,0.00340543,0.05,-2.38607,1.7529,0.821841,0.00910937
10,1,5.75,2.375,0.373,-0.372,22.5,0.0599484,0.00299742,0.05,-2.38607,1.7529,0.821841,0.00910937
10,2,5.75,2.375,0.373,-0.372,37.5,0.0445595,0.00222798,0.05,-2.38607,1.7529,0.821841,0.00910937
10,3,5.75,2.375,0.373,-0.372,52.5,0.0384353,0.00192177,0.05,-2.38607,1.7529,0.821841,0.00910937
10,4,5.75,2.375,0.373,-0.372,67.5,0.0277495,0.00138748,0.05,-2.38607,1.7529,0.821841,0.00910937
