Set,k,QQ,x,t,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev
31,5.750000,2.350680,0.434603,-0.316798,0.826174,0.464071,0.789566,14.594536,2.246172,8.480665
32,5.750000,2.755140,0.475665,-0.414944,1.115755,0.962748,-1.103416,21.502013,2.901579,12.692853
33,5.750000,2.358660,0.439937,-0.420810,1.517303,1.665120,-4.178478,20.525842,4.617311,10.614551
34,5.750000,1.578050,0.378430,-0.276353,0.517171,0.573215,-0.746332,9.206810,2.448360,4.418801
35,5.750000,2.362160,0.460838,-0.354374,1.003482,0.460846,-1.431344,12.431277,2.911747,7.941675
36,5.750000,1.337010,0.423396,-0.410395,1.130777,2.228801,-0.962648,17.180217,0.738315,7.018094
37,5.750000,1.401820,0.299700,-0.309792,1.262127,1.809395,-7.966386,17.602190,4.058633,4.963568
38,5.750000,4.107270,0.487991,-0.469317,1.710681,0.243962,-5.847199,35.657134,4.820164,5.423438
39,5.750000,2.927420,0.393049,-0.393098,0.860395,1.270883,-1.318002,22.327666,2.732480,6.287682
40,5.750000,1.594060,0.283371,-0.498307,0.703197,8.623234,1.575689,52.587974,4.319849,10.371498
41,5.750000,1.772960,0.460297,-0.325598,1.050192,0.615183,-4.457434,13.018227,3.115996,8.962876
42,5.750000,2.191590,0.351107,-0.496568,1.285381,6.645572,-1.196171,49.130803,4.318416,13.955949
43,5.750000,2.183050,0.451306,-0.497989,1.478106,2.690975,-2.777594,22.335353,3.480724,10.767950
44,5.750000,1.133980,0.324754,-0.165836,0.426972,0.281580,-4.747968,8.653648,3.384329,3.885295
45,5.750000,3.365700,0.414868,-0.490686,1.848326,1.385501,-3.444024,24.095933,4.002569,4.461800
46,5.750000,2.131060,0.405378,-0.456268,1.172568,2.868088,-0.585294,24.567525,2.765245,10.025424
47,5.750000,2.381420,0.477923,-0.403919,1.054011,0.922646,-1.389121,16.757117,2.984647,10.777856
48,5.750000,2.952270,0.410326,-0.389615,1.083652,1.238595,-4.229458,24.883700,4.266484,8.367999
49,5.750000,2.722540,0.474670,-0.474472,1.537138,1.815015,-0.764369,24.199231,2.561274,13.203466
50,5.750000,1.071260,0.329294,-0.229681,0.360011,0.592036,1.086540,8.398336,2.236090,3.018910
51,5.750000,1.631850,0.351221,-0.284394,0.681283,0.905525,-2.818908,12.191479,3.649134,4.934953
52,5.750000,2.593840,0.519143,-0.469722,1.593617,1.314723,-3.934324,24.390727,5.716613,17.748192
53,5.750000,2.115990,0.389119,-0.457130,1.657087,3.107177,-4.531169,25.574151,4.598346,9.805630
54,5.750000,2.181920,0.489571,-0.362497,1.151590,0.522622,-0.239756,16.766600,2.577669,12.980261
55,5.750000,3.938790,0.500323,-0.462910,1.467811,0.243218,-3.818869,48.797438,4.056507,13.780667
56,5.750000,2.100260,0.456838,-0.451565,1.128475,2.039403,-1.123923,19.481228,3.085939,10.358843
57,5.750000,1.126780,0.483102,-0.376384,0.498219,1.771831,3.643639,16.455984,-2.916814,9.255431
58,5.750000,1.429950,0.225662,-0.395106,0.675186,10.502752,-0.316154,77.419164,2.702959,11.942118
59,5.750000,1.085400,0.397175,-0.305576,0.621131,1.017247,0.045245,10.612731,2.192562,4.268035
60,5.750000,2.289530,0.501174,-0.400053,1.104483,0.765171,-0.414514,18.734902,3.183766,14.046529
61,5.750000,2.060450,0.427770,-0.419058,1.414790,1.651683,-3.102580,16.755783,3.796476,8.240770
62,5.750000,2.463970,0.458299,-0.313288,0.828906,0.216736,2.776188,21.799812,0.559678,14.729465
63,5.750000,1.405410,0.360942,-0.294133,0.906641,0.902758,-4.714796,10.562005,3.582828,4.353272
64,5.750000,2.999940,0.384170,-0.361526,0.780443,0.909615,-0.495172,22.065053,2.803885,5.055045
65,5.750000,1.989470,0.348625,-0.440897,1.741784,4.165366,-6.409997,33.220610,3.961495,10.503304
66,5.750000,1.933970,0.487249,-0.474645,1.473051,2.156426,-1.960748,19.370071,3.247273,11.517937
67,5.750000,1.699050,0.434288,-0.333734,0.813359,0.770565,-0.863276,10.968249,2.711559,6.220373
68,5.750000,1.982860,0.407098,-0.435717,1.661230,1.976379,-5.019639,17.188145,4.315348,7.471761
69,5.750000,4.532050,0.503737,-0.498749,1.571041,0.716478,2.151336,34.864760,4.092910,0.953398
70,5.750000,3.823420,0.414179,-0.464695,1.157691,0.656417,1.332598,28.621271,4.738489,1.526368
71,5.750000,2.930820,0.353409,-0.498615,1.085500,2.510776,0.114440,27.166885,3.934229,3.657590
72,5.750000,1.013570,0.480248,-0.445107,0.054133,3.586090,7.349223,23.997673,-2.860421,9.769618
73,5.750000,1.397870,0.543611,-0.445009,1.194927,2.783175,-0.442339,26.777552,1.351850,19.480980
74,5.750000,1.414850,0.263563,-0.255563,0.647608,2.083247,-3.695440,25.152703,3.129663,6.321522
75,5.750000,1.024420,0.353276,-0.466339,0.701755,4.872928,1.699916,29.012350,2.464416,6.188666
76,10.000000,2.066660,0.352110,-0.372448,1.133920,1.318337,-3.229518,11.438920,2.989646,4.323375
77,10.000000,3.492940,0.431918,-0.392920,1.031659,0.551145,-0.647229,9.425621,2.216509,5.965637
78,10.000000,3.100020,0.433327,-0.285693,0.846809,0.067926,-6.343710,20.121218,5.758829,15.713008
79,10.000000,3.552770,0.396336,-0.362823,0.788841,0.868588,-1.138232,14.124334,2.266070,7.627024
80,10.000000,4.694950,0.464606,-0.409555,1.138810,0.322350,4.015752,19.206948,0.680886,13.020692
81,10.000000,3.676440,0.434603,-0.327627,0.933948,0.179986,-1.861822,12.612470,3.826447,8.862287
82,10.000000,2.646960,0.356369,-0.420892,0.864601,1.739151,-0.410469,14.254405,2.675742,5.718040
83,10.000000,3.802120,0.366710,-0.468218,1.336728,3.067743,-3.510954,27.304191,4.087478,10.684652
84,10.000000,3.688380,0.439937,-0.425894,1.400897,0.656701,-2.712432,9.872388,3.996458,6.301004
85,10.000000,4.775840,0.454214,-0.490858,1.384901,1.235840,2.131384,20.040808,1.628965,11.531447
86,10.000000,1.669940,0.423396,-0.413501,0.347643,1.904633,5.839912,15.411761,-2.935829,7.108018
87,10.000000,1.313240,0.289039,-0.147012,0.364704,0.212134,-3.302592,6.934449,2.768528,2.850960
90,10.000000,4.092150,0.527618,-0.492024,1.604589,0.396624,-2.732873,21.529367,2.996415,20.068234
91,10.000000,3.760500,0.351615,-0.371892,1.251347,1.734947,-5.157825,21.851494,4.865234,8.622205
92,10.000000,4.142080,0.449634,-0.489031,1.606699,1.491488,-4.289496,18.726216,4.752611,11.149633
93,10.000000,2.621130,0.441189,-0.360262,1.109602,0.569265,-3.178482,10.341067,4.656481,7.051510
94,10.000000,4.373140,0.418169,-0.306772,0.750275,0.141793,-14.090038,36.252119,9.448497,21.562512
95,10.000000,1.280010,0.338006,-0.280093,0.346419,1.020300,1.046150,10.989678,1.343451,3.891893
96,10.000000,1.112190,0.327053,-0.142380,0.331870,0.138344,-1.948744,8.480397,2.078532,4.291301
97,10.000000,3.608570,0.415497,-0.485913,1.673645,2.039414,-4.724183,18.764737,5.694769,9.590402
98,10.000000,1.457180,0.164651,-0.258194,1.005093,4.676853,-7.985482,46.079289,3.093950,6.523299
99,10.000000,3.239990,0.364715,-0.373272,1.095246,1.102912,-4.383920,12.758913,3.998363,5.812481
100,10.000000,2.812830,0.253983,-0.477616,5.555333,8.549667,-29.414864,55.626711,8.931774,11.350543
101,10.000000,3.708870,0.477923,-0.415460,1.234217,0.488932,-4.405031,16.093858,5.068513,12.914145
102,10.000000,1.465780,0.202289,-0.405037,3.775090,5.709128,-21.390191,37.504532,4.564080,5.390399
103,10.000000,4.351530,0.405120,-0.474710,1.741224,2.801695,-8.043536,31.365421,7.015233,14.495553
104,10.000000,4.380120,0.474670,-0.477391,1.780461,0.880875,-4.879370,17.238569,5.236064,12.129899
105,10.000000,2.422800,0.319482,-0.376806,0.940765,1.521788,-2.445984,12.935148,3.385527,4.421042
106,10.000000,2.996500,0.283987,-0.420306,3.146376,4.338446,-18.016376,33.680994,6.182545,8.918131
107,10.000000,2.388340,0.377425,-0.442481,0.866971,1.737725,0.537806,13.191626,1.288620,5.377451
108,10.000000,4.889680,0.460676,-0.395565,1.214704,0.203542,-0.853362,21.394364,3.099750,13.774147
109,10.000000,3.243690,0.389119,-0.458429,1.290385,1.843631,-1.563109,16.016190,3.380039,7.303471
110,10.000000,3.312130,0.489571,-0.382337,1.280607,0.199019,-0.810692,22.685996,2.673213,19.949764
111,10.000000,1.109220,0.348484,-0.273004,0.469589,1.008009,0.103257,10.958579,1.665600,3.695525
112,10.000000,2.957360,0.329443,-0.234889,0.598765,0.500982,-3.085224,12.896149,3.159762,5.908597
113,10.000000,2.564250,0.363386,-0.284571,0.725075,0.537253,-2.934730,9.096436,3.642153,4.586593
114,10.000000,2.235270,0.481519,-0.356370,1.039635,0.645271,-3.472744,17.228543,6.135885,13.748086
115,10.000000,3.851160,0.363640,-0.484128,1.649199,3.768874,-4.724122,31.498486,4.908888,11.757251
116,10.000000,1.370000,0.250716,-0.200977,0.302041,0.666911,-0.386392,9.549593,2.129896,2.576037
117,10.000000,1.459720,0.259134,-0.221940,0.722531,0.632823,-6.369166,8.275081,3.197029,2.280935
118,10.000000,1.776560,0.229969,-0.404035,1.232126,3.609875,-4.458516,24.562346,3.608080,4.409403
119,10.000000,3.105350,0.427770,-0.423350,1.566658,1.019563,-4.766409,11.839494,4.965078,6.848716
120,10.000000,3.091920,0.413395,-0.457733,1.717364,1.432908,-5.234501,13.113309,5.650201,6.714246
121,10.000000,3.403350,0.357370,-0.492717,1.276844,2.943375,-0.768745,22.233772,2.693181,8.281181
122,10.000000,1.277830,0.290856,-0.182287,0.313206,0.316976,-0.648794,6.324428,2.102429,2.246292
123,10.000000,1.099360,0.410423,-0.235896,0.439994,0.536702,1.684891,11.082744,1.412113,6.208062
124,10.000000,3.883410,0.458299,-0.329372,0.979717,0.247852,3.265694,21.003148,-0.358227,16.683985
