#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2,gReH,gReE,gReHTilde
2,2,5.75,1.11,0.126,-0.15,37.5,0,0,0,0,0,0,0,0
2,3,5.75,1.11,0.126,-0.15,56.12,0,0,0,0,0,0,0,0
2,4,5.75,1.11,0.126,-0.15,68.12,4.08567,0.325533,0.0796768,0.712357,1.15655,0.144252,-0.698814,1.392
2,5,5.75,1.11,0.126,-0.15,82.03,2.92682,0.186205,0.0636201,0.712357,1.15655,0.144252,-0.698814,1.392
2,6,5.75,1.11,0.126,-0.15,97.11,2.02777,0.123468,0.0608887,0.712357,1.15655,0.144252,-0.698814,1.392
2,7,5.75,1.11,0.126,-0.15,112.18,1.55618,0.116529,0.0748813,0.712357,1.15655,0.144252,-0.698814,1.392
2,8,5.75,1.11,0.126,-0.15,127.26,1.17198,0.0990741,0.0845353,0.712357,1.15655,0.144252,-0.698814,1.392
2,9,5.75,1.11,0.126,-0.15,142.33,1.07662,0.0738909,0.0686325,0.712357,1.15655,0.144252,-0.698814,1.392
2,10,5.75,1.11,0.126,-0.15,157.4,0.993404,0.0692427,0.0697025,0.712357,1.15655,0.144252,-0.698814,1.392
2,11,5.75,1.11,0.126,-0.15,172.47,0.821266,0.0713439,0.0868707,0.712357,1.15655,0.144252,-0.698814,1.392
2,12,5.75,1.11,0.126,-0.15,187.53,0.799548,0.065402,0.0817988,0.712357,1.15655,0.144252,-0.698814,1.392
2,13,5.75,1.11,0.126,-0.15,202.6,0.924428,0.0661488,0.0715565,0.712357,1.15655,0.144252,-0.698814,1.392
2,14,5.75,1.11,0.126,-0.15,217.67,0.921451,0.0673937,0.0731387,0.712357,1.15655,0.144252,-0.698814,1.392
2,15,5.75,1.11,0.126,-0.15,232.74,1.40073,0.120988,0.0863754,0.712357,1.15655,0.144252,-0.698814,1.392
2,16,5.75,1.11,0.126,-0.15,247.82,1.44411,0.105575,0.073107,0.712357,1.15655,0.144252,-0.698814,1.392
2,17,5.75,1.11,0.126,-0.15,262.89,1.94889,0.123997,0.0636246,0.712357,1.15655,0.144252,-0.698814,1.392
2,18,5.75,1.11,0.126,-0.15,277.97,3.07128,0.185828,0.060505,0.712357,1.15655,0.144252,-0.698814,1.392
2,19,5.75,1.11,0.126,-0.15,291.88,4.69966,0.364333,0.0775233,0.712357,1.15655,0.144252,-0.698814,1.392
2,20,5.75,1.11,0.126,-0.15,303.88,0,0,0,0,0,0,0,0
2,21,5.75,1.11,0.126,-0.15,322.5,0,0,0,0,0,0,0,0
2,22,5.75,1.11,0.126,-0.15,337.5,0,0,0,0,0,0,0,0
2,23,5.75,1.11,0.126,-0.15,352.5,0,0,0,0,0,0,0,0
3,0,5.75,1.11,0.126,-0.2,7.5,0,0,0,0,0,0,0,0
3,1,5.75,1.11,0.126,-0.2,22.5,0,0,0,0,0,0,0,0
3,2,5.75,1.11,0.126,-0.2,37.5,0,0,0,0,0,0,0,0
3,3,5.75,1.11,0.126,-0.2,56.19,0,0,0,0,0,0,0,0
3,4,5.75,1.11,0.126,-0.2,67.53,2.77792,0.289118,0.104077,0.648916,1.01978,0.231752,-0.923814,1.667
3,5,5.75,1.11,0.126,-0.2,82,1.73136,0.134632,0.0777608,0.648916,1.01978,0.231752,-0.923814,1.667
3,6,5.75,1.11,0.126,-0.2,97.09,0.983687,0.0761644,0.0774275,0.648916,1.01978,0.231752,-0.923814,1.667
3,7,5.75,1.11,0.126,-0.2,112.17,0.732878,0.0646814,0.0882567,0.648916,1.01978,0.231752,-0.923814,1.667
3,8,5.75,1.11,0.126,-0.2,127.25,0.761836,0.0836003,0.109735,0.648916,1.01978,0.231752,-0.923814,1.667
3,9,5.75,1.11,0.126,-0.2,142.32,0.619396,0.0557481,0.0900038,0.648916,1.01978,0.231752,-0.923814,1.667
3,10,5.75,1.11,0.126,-0.2,157.39,0.520841,0.0430042,0.0825667,0.648916,1.01978,0.231752,-0.923814,1.667
3,11,5.75,1.11,0.126,-0.2,172.46,0.472973,0.0502375,0.106216,0.648916,1.01978,0.231752,-0.923814,1.667
3,12,5.75,1.11,0.126,-0.2,187.54,0.443524,0.0478823,0.107959,0.648916,1.01978,0.231752,-0.923814,1.667
3,13,5.75,1.11,0.126,-0.2,202.61,0.503488,0.0486171,0.0965606,0.648916,1.01978,0.231752,-0.923814,1.667
3,14,5.75,1.11,0.126,-0.2,217.68,0.568563,0.0500086,0.0879562,0.648916,1.01978,0.231752,-0.923814,1.667
3,15,5.75,1.11,0.126,-0.2,232.75,0.755023,0.0754941,0.0999893,0.648916,1.01978,0.231752,-0.923814,1.667
3,16,5.75,1.11,0.126,-0.2,247.83,0.779847,0.0754867,0.0967968,0.648916,1.01978,0.231752,-0.923814,1.667
3,17,5.75,1.11,0.126,-0.2,262.91,1.22454,0.096783,0.0790365,0.648916,1.01978,0.231752,-0.923814,1.667
3,18,5.75,1.11,0.126,-0.2,278,1.8873,0.159608,0.0845692,0.648916,1.01978,0.231752,-0.923814,1.667
3,19,5.75,1.11,0.126,-0.2,292.47,3.15383,0.318342,0.100938,0.648916,1.01978,0.231752,-0.923814,1.667
3,20,5.75,1.11,0.126,-0.2,303.81,0,0,0,0,0,0,0,0
3,21,5.75,1.11,0.126,-0.2,322.5,0,0,0,0,0,0,0,0
3,22,5.75,1.11,0.126,-0.2,337.5,0,0,0,0,0,0,0,0
3,23,5.75,1.11,0.126,-0.2,352.5,0,0,0,0,0,0,0,0
4,0,5.75,1.11,0.126,-0.26,7.5,0,0,0,0,0,0,0,0
4,1,5.75,1.11,0.126,-0.26,22.5,0,0,0,0,0,0,0,0
4,2,5.75,1.11,0.126,-0.26,37.5,0,0,0,0,0,0,0,0
4,3,5.75,1.11,0.126,-0.26,55.41,2.69306,0.346166,0.12854,0.58528,0.885734,0.369752,-1.19381,1.997
4,4,5.75,1.11,0.126,-0.26,66.94,1.48857,0.138637,0.0931344,0.58528,0.885734,0.369752,-1.19381,1.997
4,5,5.75,1.11,0.126,-0.26,81.98,0.880824,0.0781916,0.0887709,0.58528,0.885734,0.369752,-1.19381,1.997
4,6,5.75,1.11,0.126,-0.26,97.08,0.626769,0.0562271,0.0897094,0.58528,0.885734,0.369752,-1.19381,1.997
4,7,5.75,1.11,0.126,-0.26,112.16,0.464958,0.039145,0.0841905,0.58528,0.885734,0.369752,-1.19381,1.997
4,8,5.75,1.11,0.126,-0.26,127.24,0.373499,0.0418734,0.112111,0.58528,0.885734,0.369752,-1.19381,1.997
4,9,5.75,1.11,0.126,-0.26,142.32,0.345175,0.0335211,0.0971134,0.58528,0.885734,0.369752,-1.19381,1.997
4,10,5.75,1.11,0.126,-0.26,157.39,0.313917,0.0283708,0.0903767,0.58528,0.885734,0.369752,-1.19381,1.997
4,11,5.75,1.11,0.126,-0.26,172.46,0.280818,0.0276975,0.0986317,0.58528,0.885734,0.369752,-1.19381,1.997
4,12,5.75,1.11,0.126,-0.26,187.54,0.211868,0.0269065,0.126997,0.58528,0.885734,0.369752,-1.19381,1.997
4,13,5.75,1.11,0.126,-0.26,202.61,0.273678,0.02757,0.100739,0.58528,0.885734,0.369752,-1.19381,1.997
4,14,5.75,1.11,0.126,-0.26,217.68,0.275458,0.025936,0.0941558,0.58528,0.885734,0.369752,-1.19381,1.997
4,15,5.75,1.11,0.126,-0.26,232.76,0.318152,0.0309948,0.0974212,0.58528,0.885734,0.369752,-1.19381,1.997
4,16,5.75,1.11,0.126,-0.26,247.84,0.444019,0.0493354,0.111111,0.58528,0.885734,0.369752,-1.19381,1.997
4,17,5.75,1.11,0.126,-0.26,262.92,0.631551,0.0552736,0.0875204,0.58528,0.885734,0.369752,-1.19381,1.997
4,18,5.75,1.11,0.126,-0.26,278.02,0.92367,0.0763427,0.0826515,0.58528,0.885734,0.369752,-1.19381,1.997
4,19,5.75,1.11,0.126,-0.26,293.06,1.59101,0.155316,0.097621,0.58528,0.885734,0.369752,-1.19381,1.997
4,20,5.75,1.11,0.126,-0.26,304.59,2.31478,0.301968,0.130453,0.58528,0.885734,0.369752,-1.19381,1.997
4,21,5.75,1.11,0.126,-0.26,322.5,0,0,0,0,0,0,0,0
4,22,5.75,1.11,0.126,-0.26,337.5,0,0,0,0,0,0,0,0
4,23,5.75,1.11,0.126,-0.26,352.5,0,0,0,0,0,0,0,0
5,0,5.75,1.11,0.126,-0.34,7.5,0,0,0,0,0,0,0,0
5,1,5.75,1.11,0.126,-0.34,22.5,0,0,0,0,0,0,0,0
5,2,5.75,1.11,0.126,-0.34,43.8,0,0,0,0,0,0,0,0
5,3,5.75,1.11,0.126,-0.34,53.26,1.41054,0.121636,0.0862332,0.516032,0.74472,0.609752,-1.55381,2.437
5,4,5.75,1.11,0.126,-0.34,66.86,0.931287,0.096274,0.103377,0.516032,0.74472,0.609752,-1.55381,2.437
5,5,5.75,1.11,0.126,-0.34,81.98,0.442743,0.0417536,0.0943065,0.516032,0.74472,0.609752,-1.55381,2.437
5,6,5.75,1.11,0.126,-0.34,97.07,0.29755,0.0270658,0.0909621,0.516032,0.74472,0.609752,-1.55381,2.437
5,7,5.75,1.11,0.126,-0.34,112.16,0.240908,0.02284,0.0948081,0.516032,0.74472,0.609752,-1.55381,2.437
5,8,5.75,1.11,0.126,-0.34,127.24,0.196393,0.0220153,0.112098,0.516032,0.74472,0.609752,-1.55381,2.437
5,9,5.75,1.11,0.126,-0.34,142.31,0.150073,0.0155621,0.103697,0.516032,0.74472,0.609752,-1.55381,2.437
5,10,5.75,1.11,0.126,-0.34,157.39,0.146528,0.0153232,0.104575,0.516032,0.74472,0.609752,-1.55381,2.437
5,11,5.75,1.11,0.126,-0.34,172.46,0.0982586,0.0110667,0.112628,0.516032,0.74472,0.609752,-1.55381,2.437
5,12,5.75,1.11,0.126,-0.34,187.54,0.131403,0.0163345,0.124308,0.516032,0.74472,0.609752,-1.55381,2.437
5,13,5.75,1.11,0.126,-0.34,202.61,0.105342,0.0106188,0.100803,0.516032,0.74472,0.609752,-1.55381,2.437
5,14,5.75,1.11,0.126,-0.34,217.69,0.170103,0.0180876,0.106333,0.516032,0.74472,0.609752,-1.55381,2.437
5,15,5.75,1.11,0.126,-0.34,232.76,0.183844,0.0202606,0.110205,0.516032,0.74472,0.609752,-1.55381,2.437
5,16,5.75,1.11,0.126,-0.34,247.84,0.220789,0.026414,0.119634,0.516032,0.74472,0.609752,-1.55381,2.437
5,17,5.75,1.11,0.126,-0.34,262.93,0.358721,0.0308642,0.0860395,0.516032,0.74472,0.609752,-1.55381,2.437
5,18,5.75,1.11,0.126,-0.34,278.02,0.543618,0.0481858,0.088639,0.516032,0.74472,0.609752,-1.55381,2.437
5,19,5.75,1.11,0.126,-0.34,293.14,0.787939,0.0701101,0.0889791,0.516032,0.74472,0.609752,-1.55381,2.437
5,20,5.75,1.11,0.126,-0.34,306.74,1.20075,0.134341,0.111881,0.516032,0.74472,0.609752,-1.55381,2.437
5,21,5.75,1.11,0.126,-0.34,316.2,0,0,0,0,0,0,0,0
5,22,5.75,1.11,0.126,-0.34,337.5,0,0,0,0,0,0,0,0
5,23,5.75,1.11,0.126,-0.34,352.5,0,0,0,0,0,0,0,0
6,0,5.75,1.11,0.126,-0.45,7.5,0,0,0,0,0,0,0,0
6,1,5.75,1.11,0.126,-0.45,22.5,0,0,0,0,0,0,0,0
6,2,5.75,1.11,0.126,-0.45,41.56,0.903616,0.0788157,0.0872226,0.441298,0.599887,1.04425,-2.04881,3.042
6,3,5.75,1.11,0.126,-0.45,51.83,0.631981,0.0463587,0.0733545,0.441298,0.599887,1.04425,-2.04881,3.042
6,4,5.75,1.11,0.126,-0.45,66.87,0.324065,0.0301027,0.0928908,0.441298,0.599887,1.04425,-2.04881,3.042
6,5,5.75,1.11,0.126,-0.45,81.97,0.205397,0.019904,0.0969051,0.441298,0.599887,1.04425,-2.04881,3.042
6,6,5.75,1.11,0.126,-0.45,97.06,0.168572,0.0157186,0.0932452,0.441298,0.599887,1.04425,-2.04881,3.042
6,7,5.75,1.11,0.126,-0.45,112.15,0.129785,0.0124547,0.0959634,0.441298,0.599887,1.04425,-2.04881,3.042
6,8,5.75,1.11,0.126,-0.45,127.23,0.0772434,0.0102445,0.132626,0.441298,0.599887,1.04425,-2.04881,3.042
6,9,5.75,1.11,0.126,-0.45,142.31,0.0565783,0.0070763,0.125071,0.441298,0.599887,1.04425,-2.04881,3.042
6,10,5.75,1.11,0.126,-0.45,157.39,0.0552047,0.00607312,0.110011,0.441298,0.599887,1.04425,-2.04881,3.042
6,11,5.75,1.11,0.126,-0.45,172.46,0.0608846,0.00761543,0.12508,0.441298,0.599887,1.04425,-2.04881,3.042
6,12,5.75,1.11,0.126,-0.45,187.54,0.0625013,0.00937726,0.150033,0.441298,0.599887,1.04425,-2.04881,3.042
6,13,5.75,1.11,0.126,-0.45,202.61,0.0438613,0.00600383,0.136882,0.441298,0.599887,1.04425,-2.04881,3.042
6,14,5.75,1.11,0.126,-0.45,217.69,0.073216,0.00840713,0.114826,0.441298,0.599887,1.04425,-2.04881,3.042
6,15,5.75,1.11,0.126,-0.45,232.77,0.0903141,0.0103788,0.114919,0.441298,0.599887,1.04425,-2.04881,3.042
6,16,5.75,1.11,0.126,-0.45,247.85,0.107941,0.0138834,0.128621,0.441298,0.599887,1.04425,-2.04881,3.042
6,17,5.75,1.11,0.126,-0.45,262.94,0.163499,0.0157316,0.0962186,0.441298,0.599887,1.04425,-2.04881,3.042
6,18,5.75,1.11,0.126,-0.45,278.03,0.210369,0.0191635,0.0910949,0.441298,0.599887,1.04425,-2.04881,3.042
6,19,5.75,1.11,0.126,-0.45,293.13,0.332049,0.028836,0.0868426,0.441298,0.599887,1.04425,-2.04881,3.042
6,20,5.75,1.11,0.126,-0.45,308.17,0.687625,0.0646017,0.093949,0.441298,0.599887,1.04425,-2.04881,3.042
6,21,5.75,1.11,0.126,-0.45,318.44,0,0,0,0,0,0,0,0
6,22,5.75,1.11,0.126,-0.45,337.5,0,0,0,0,0,0,0,0
6,23,5.75,1.11,0.126,-0.45,352.5,0,0,0,0,0,0,0,0
7,0,5.75,1.27,0.154,-0.11,10.2,0,0,0,0,0,0,0,0
7,1,5.75,1.27,0.154,-0.11,25.75,0,0,0,0,0,0,0,0
7,2,5.75,1.27,0.154,-0.11,39.49,6.80924,0.386879,0.0568167,0.772056,1.28727,0.107932,-0.530574,1.298
7,3,5.75,1.27,0.154,-0.11,52.77,4.98445,0.286403,0.0574593,0.772056,1.28727,0.107932,-0.530574,1.298
7,4,5.75,1.27,0.154,-0.11,67.03,3.30166,0.227872,0.0690172,0.772056,1.28727,0.107932,-0.530574,1.298
7,5,5.75,1.27,0.154,-0.11,82.09,2.35258,0.144361,0.061363,0.772056,1.28727,0.107932,-0.530574,1.298
7,6,5.75,1.27,0.154,-0.11,97.15,1.65845,0.11244,0.0677984,0.772056,1.28727,0.107932,-0.530574,1.298
7,7,5.75,1.27,0.154,-0.11,112.2,1.30536,0.116953,0.0895947,0.772056,1.28727,0.107932,-0.530574,1.298
7,8,5.75,1.27,0.154,-0.11,127.26,0.990709,0.113639,0.114705,0.772056,1.28727,0.107932,-0.530574,1.298
7,9,5.75,1.27,0.154,-0.11,142.33,0.832247,0.0776651,0.0933197,0.772056,1.28727,0.107932,-0.530574,1.298
7,10,5.75,1.27,0.154,-0.11,157.4,0.783585,0.0753674,0.0961829,0.772056,1.28727,0.107932,-0.530574,1.298
7,11,5.75,1.27,0.154,-0.11,172.46,0.657019,0.0781742,0.118983,0.772056,1.28727,0.107932,-0.530574,1.298
7,12,5.75,1.27,0.154,-0.11,187.54,0.848639,0.104779,0.123467,0.772056,1.28727,0.107932,-0.530574,1.298
7,13,5.75,1.27,0.154,-0.11,202.6,0.879006,0.0833145,0.0947827,0.772056,1.28727,0.107932,-0.530574,1.298
7,14,5.75,1.27,0.154,-0.11,217.67,0.806724,0.0763457,0.0946367,0.772056,1.28727,0.107932,-0.530574,1.298
7,15,5.75,1.27,0.154,-0.11,232.74,1.07374,0.129125,0.120257,0.772056,1.28727,0.107932,-0.530574,1.298
7,16,5.75,1.27,0.154,-0.11,247.8,1.24781,0.113172,0.090696,0.772056,1.28727,0.107932,-0.530574,1.298
7,17,5.75,1.27,0.154,-0.11,262.85,1.73982,0.119743,0.0688253,0.772056,1.28727,0.107932,-0.530574,1.298
7,18,5.75,1.27,0.154,-0.11,277.91,2.17029,0.140073,0.064541,0.772056,1.28727,0.107932,-0.530574,1.298
7,19,5.75,1.27,0.154,-0.11,292.97,3.39728,0.237608,0.0699406,0.772056,1.28727,0.107932,-0.530574,1.298
7,20,5.75,1.27,0.154,-0.11,307.23,4.71379,0.239966,0.0509072,0.772056,1.28727,0.107932,-0.530574,1.298
7,21,5.75,1.27,0.154,-0.11,320.51,7.24142,0.375248,0.0518197,0.772056,1.28727,0.107932,-0.530574,1.298
7,22,5.75,1.27,0.154,-0.11,334.25,0,0,0,0,0,0,0,0
7,23,5.75,1.27,0.154,-0.11,349.8,0,0,0,0,0,0,0,0
8,0,5.75,1.27,0.154,-0.15,7.5,0,0,0,0,0,0,0,0
8,1,5.75,1.27,0.154,-0.15,29.3,0,0,0,0,0,0,0,0
8,2,5.75,1.27,0.154,-0.15,41.24,0,0,0,0,0,0,0,0
8,3,5.75,1.27,0.154,-0.15,53.18,3.30812,0.207385,0.0626896,0.712357,1.15655,0.159932,-0.710574,1.518
8,4,5.75,1.27,0.154,-0.15,66.96,2.22257,0.162587,0.0731527,0.712357,1.15655,0.159932,-0.710574,1.518
8,5,5.75,1.27,0.154,-0.15,82.04,1.45821,0.0982201,0.0673568,0.712357,1.15655,0.159932,-0.710574,1.518
8,6,5.75,1.27,0.154,-0.15,97.11,0.959463,0.0684039,0.0712939,0.712357,1.15655,0.159932,-0.710574,1.518
8,7,5.75,1.27,0.154,-0.15,112.18,0.765221,0.0695571,0.090898,0.712357,1.15655,0.159932,-0.710574,1.518
8,8,5.75,1.27,0.154,-0.15,127.25,0.692965,0.0823206,0.118795,0.712357,1.15655,0.159932,-0.710574,1.518
8,9,5.75,1.27,0.154,-0.15,142.32,0.426708,0.044113,0.10338,0.712357,1.15655,0.159932,-0.710574,1.518
8,10,5.75,1.27,0.154,-0.15,157.39,0.411319,0.0446,0.108431,0.712357,1.15655,0.159932,-0.710574,1.518
8,11,5.75,1.27,0.154,-0.15,172.46,0.366786,0.0433545,0.118201,0.712357,1.15655,0.159932,-0.710574,1.518
8,12,5.75,1.27,0.154,-0.15,187.54,0.429197,0.0537345,0.125198,0.712357,1.15655,0.159932,-0.710574,1.518
8,13,5.75,1.27,0.154,-0.15,202.61,0.53272,0.0581008,0.109064,0.712357,1.15655,0.159932,-0.710574,1.518
8,14,5.75,1.27,0.154,-0.15,217.68,0.542379,0.0492506,0.0908047,0.712357,1.15655,0.159932,-0.710574,1.518
8,15,5.75,1.27,0.154,-0.15,232.75,0.637672,0.0755028,0.118404,0.712357,1.15655,0.159932,-0.710574,1.518
8,16,5.75,1.27,0.154,-0.15,247.82,0.75192,0.0715468,0.0951522,0.712357,1.15655,0.159932,-0.710574,1.518
8,17,5.75,1.27,0.154,-0.15,262.89,1.07677,0.0795981,0.0739229,0.712357,1.15655,0.159932,-0.710574,1.518
8,18,5.75,1.27,0.154,-0.15,277.96,1.51431,0.101222,0.0668433,0.712357,1.15655,0.159932,-0.710574,1.518
8,19,5.75,1.27,0.154,-0.15,293.04,2.07515,0.147765,0.0712068,0.712357,1.15655,0.159932,-0.710574,1.518
8,20,5.75,1.27,0.154,-0.15,306.82,3.0456,0.190073,0.0624091,0.712357,1.15655,0.159932,-0.710574,1.518
8,21,5.75,1.27,0.154,-0.15,318.76,0,0,0,0,0,0,0,0
8,22,5.75,1.27,0.154,-0.15,330.7,0,0,0,0,0,0,0,0
8,23,5.75,1.27,0.154,-0.15,352.5,0,0,0,0,0,0,0,0
9,0,5.75,1.27,0.154,-0.2,7.5,0,0,0,0,0,0,0,0
9,1,5.75,1.27,0.154,-0.2,22.5,0,0,0,0,0,0,0,0
9,2,5.75,1.27,0.154,-0.2,42.63,0,0,0,0,0,0,0,0
9,3,5.75,1.27,0.154,-0.2,53.03,1.7901,0.14315,0.0799677,0.648916,1.01978,0.247432,-0.935574,1.793
9,4,5.75,1.27,0.154,-0.2,66.9,1.23878,0.120775,0.0974955,0.648916,1.01978,0.247432,-0.935574,1.793
9,5,5.75,1.27,0.154,-0.2,82,0.952022,0.0832374,0.0874322,0.648916,1.01978,0.247432,-0.935574,1.793
9,6,5.75,1.27,0.154,-0.2,97.09,0.617527,0.0514793,0.0833636,0.648916,1.01978,0.247432,-0.935574,1.793
9,7,5.75,1.27,0.154,-0.2,112.17,0.429611,0.0421187,0.0980392,0.648916,1.01978,0.247432,-0.935574,1.793
9,8,5.75,1.27,0.154,-0.2,127.24,0.361652,0.0496132,0.137185,0.648916,1.01978,0.247432,-0.935574,1.793
9,9,5.75,1.27,0.154,-0.2,142.31,0.241624,0.032444,0.134275,0.648916,1.01978,0.247432,-0.935574,1.793
9,10,5.75,1.27,0.154,-0.2,157.39,0.248628,0.0284637,0.114483,0.648916,1.01978,0.247432,-0.935574,1.793
9,11,5.75,1.27,0.154,-0.2,172.46,0.196539,0.0284954,0.144986,0.648916,1.01978,0.247432,-0.935574,1.793
9,12,5.75,1.27,0.154,-0.2,187.54,0.229169,0.0363309,0.158533,0.648916,1.01978,0.247432,-0.935574,1.793
9,13,5.75,1.27,0.154,-0.2,202.61,0.280742,0.031088,0.110735,0.648916,1.01978,0.247432,-0.935574,1.793
9,14,5.75,1.27,0.154,-0.2,217.69,0.303233,0.0324174,0.106906,0.648916,1.01978,0.247432,-0.935574,1.793
9,15,5.75,1.27,0.154,-0.2,232.76,0.307418,0.0432504,0.140689,0.648916,1.01978,0.247432,-0.935574,1.793
9,16,5.75,1.27,0.154,-0.2,247.83,0.398483,0.0461946,0.115926,0.648916,1.01978,0.247432,-0.935574,1.793
9,17,5.75,1.27,0.154,-0.2,262.91,0.528255,0.0442683,0.0838009,0.648916,1.01978,0.247432,-0.935574,1.793
9,18,5.75,1.27,0.154,-0.2,278,0.85471,0.0717047,0.0838936,0.648916,1.01978,0.247432,-0.935574,1.793
9,19,5.75,1.27,0.154,-0.2,293.1,1.25982,0.118523,0.0940789,0.648916,1.01978,0.247432,-0.935574,1.793
9,20,5.75,1.27,0.154,-0.2,306.97,2.15806,0.194103,0.0899433,0.648916,1.01978,0.247432,-0.935574,1.793
9,21,5.75,1.27,0.154,-0.2,317.37,0,0,0,0,0,0,0,0
9,22,5.75,1.27,0.154,-0.2,337.5,0,0,0,0,0,0,0,0
9,23,5.75,1.27,0.154,-0.2,352.5,0,0,0,0,0,0,0,0
10,0,5.75,1.27,0.154,-0.26,7.5,0,0,0,0,0,0,0,0
10,1,5.75,1.27,0.154,-0.26,22.5,0,0,0,0,0,0,0,0
10,2,5.75,1.27,0.154,-0.26,43.01,0,0,0,0,0,0,0,0
10,3,5.75,1.27,0.154,-0.26,52.39,1.49839,0.122832,0.081976,0.58528,0.885734,0.385432,-1.20557,2.123
10,4,5.75,1.27,0.154,-0.26,66.86,0.691932,0.0728182,0.105239,0.58528,0.885734,0.385432,-1.20557,2.123
10,5,5.75,1.27,0.154,-0.26,81.97,0.42939,0.039621,0.0922727,0.58528,0.885734,0.385432,-1.20557,2.123
10,6,5.75,1.27,0.154,-0.26,97.07,0.339902,0.0305779,0.0899612,0.58528,0.885734,0.385432,-1.20557,2.123
10,7,5.75,1.27,0.154,-0.26,112.15,0.247634,0.0241209,0.0974056,0.58528,0.885734,0.385432,-1.20557,2.123
10,8,5.75,1.27,0.154,-0.26,127.23,0.156232,0.0221547,0.141807,0.58528,0.885734,0.385432,-1.20557,2.123
10,9,5.75,1.27,0.154,-0.26,142.31,0.160362,0.0182512,0.113812,0.58528,0.885734,0.385432,-1.20557,2.123
10,10,5.75,1.27,0.154,-0.26,157.39,0.113738,0.0147584,0.129757,0.58528,0.885734,0.385432,-1.20557,2.123
10,11,5.75,1.27,0.154,-0.26,172.46,0.134375,0.0174228,0.129658,0.58528,0.885734,0.385432,-1.20557,2.123
10,12,5.75,1.27,0.154,-0.26,187.54,0.133119,0.0193715,0.14552,0.58528,0.885734,0.385432,-1.20557,2.123
10,13,5.75,1.27,0.154,-0.26,202.61,0.119689,0.0149838,0.12519,0.58528,0.885734,0.385432,-1.20557,2.123
10,14,5.75,1.27,0.154,-0.26,217.69,0.132474,0.0152925,0.115438,0.58528,0.885734,0.385432,-1.20557,2.123
10,15,5.75,1.27,0.154,-0.26,232.77,0.207531,0.028644,0.138023,0.58528,0.885734,0.385432,-1.20557,2.123
