#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,ReH,ReE,ReHTilde,dvcs
1,15,5.75,1.82,0.343,-0.172,232.5,0.0537482,0.00268741,0.05,3.56541,-20.0821,7.69726,0.0271794
1,16,5.75,1.82,0.343,-0.172,247.5,0.0657408,0.00328704,0.05,3.56541,-20.0821,7.69726,0.0271794
1,17,5.75,1.82,0.343,-0.172,262.5,0.0833012,0.00416506,0.05,3.56541,-20.0821,7.69726,0.0271794
1,18,5.75,1.82,0.343,-0.172,277.5,0.0872286,0.00436143,0.05,3.56541,-20.0821,7.69726,0.0271794
1,19,5.75,1.82,0.343,-0.172,292.5,0.115886,0.00579431,0.05,3.56541,-20.0821,7.69726,0.0271794
1,20,5.75,1.82,0.343,-0.172,307.5,0.142645,0.00713223,0.05,3.56541,-20.0821,7.69726,0.0271794
1,21,5.75,1.82,0.343,-0.172,322.5,0.163566,0.00817828,0.05,3.56541,-20.0821,7.69726,0.0271794
1,22,5.75,1.82,0.343,-0.172,337.5,0.19494,0.00974702,0.05,3.56541,-20.0821,7.69726,0.0271794
1,23,5.75,1.82,0.343,-0.172,352.5,0.1937,0.00968501,0.05,3.56541,-20.0821,7.69726,0.0271794
2,0,5.75,1.933,0.368,-0.232,7.5,0.106222,0.0053111,0.05,1.25675,-3.85907,4.30696,0.00508837
2,1,5.75,1.933,0.368,-0.232,22.5,0.0962982,0.00481491,0.05,1.25675,-3.85907,4.30696,0.00508837
2,2,5.75,1.933,0.368,-0.232,37.5,0.0735026,0.00367513,0.05,1.25675,-3.85907,4.30696,0.00508837
2,3,5.75,1.933,0.368,-0.232,52.5,0.0709876,0.00354938,0.05,1.25675,-3.85907,4.30696,0.00508837
2,4,5.75,1.933,0.368,-0.232,67.5,0.0478434,0.00239217,0.05,1.25675,-3.85907,4.30696,0.00508837
2,5,5.75,1.933,0.368,-0.232,82.5,0.0371655,0.00185827,0.05,1.25675,-3.85907,4.30696,0.00508837
2,6,5.75,1.933,0.368,-0.232,97.5,0.0274628,0.00137314,0.05,1.25675,-3.85907,4.30696,0.00508837
2,7,5.75,1.933,0.368,-0.232,112.5,0.0211639,0.00105819,0.05,1.25675,-3.85907,4.30696,0.00508837
2,8,5.75,1.933,0.368,-0.232,127.5,0.0159115,0.000795575,0.05,1.25675,-3.85907,4.30696,0.00508837
2,9,5.75,1.933,0.368,-0.232,142.5,0.0136158,0.000680789,0.05,1.25675,-3.85907,4.30696,0.00508837
2,10,5.75,1.933,0.368,-0.232,157.5,0.0119731,0.000598653,0.05,1.25675,-3.85907,4.30696,0.00508837
2,11,5.75,1.933,0.368,-0.232,172.5,0.0101399,0.000506995,0.05,1.25675,-3.85907,4.30696,0.00508837
2,12,5.75,1.933,0.368,-0.232,187.5,0.00995585,0.000497793,0.05,1.25675,-3.85907,4.30696,0.00508837
2,13,5.75,1.933,0.368,-0.232,202.5,0.0113675,0.000568373,0.05,1.25675,-3.85907,4.30696,0.00508837
2,14,5.75,1.933,0.368,-0.232,217.5,0.0122437,0.000612184,0.05,1.25675,-3.85907,4.30696,0.00508837
2,15,5.75,1.933,0.368,-0.232,232.5,0.0176802,0.00088401,0.05,1.25675,-3.85907,4.30696,0.00508837
2,16,5.75,1.933,0.368,-0.232,247.5,0.0201215,0.00100608,0.05,1.25675,-3.85907,4.30696,0.00508837
2,17,5.75,1.933,0.368,-0.232,262.5,0.0266482,0.00133241,0.05,1.25675,-3.85907,4.30696,0.00508837
2,18,5.75,1.933,0.368,-0.232,277.5,0.038665,0.00193325,0.05,1.25675,-3.85907,4.30696,0.00508837
2,19,5.75,1.933,0.368,-0.232,292.5,0.0523027,0.00261513,0.05,1.25675,-3.85907,4.30696,0.00508837
2,20,5.75,1.933,0.368,-0.232,307.5,0.0682342,0.00341171,0.05,1.25675,-3.85907,4.30696,0.00508837
2,21,5.75,1.933,0.368,-0.232,322.5,0.0886167,0.00443084,0.05,1.25675,-3.85907,4.30696,0.00508837
2,22,5.75,1.933,0.368,-0.232,337.5,0.100623,0.00503113,0.05,1.25675,-3.85907,4.30696,0.00508837
2,23,5.75,1.933,0.368,-0.232,352.5,0.105439,0.00527195,0.05,1.25675,-3.85907,4.30696,0.00508837
3,0,5.75,1.964,0.375,-0.278,7.5,0.08331,0.0041655,0.05,0.262334,2.06071,2.21333,0.00506163
3,1,5.75,1.964,0.375,-0.278,22.5,0.074983,0.00374915,0.05,0.262334,2.06071,2.21333,0.00506163
3,2,5.75,1.964,0.375,-0.278,37.5,0.0577781,0.00288891,0.05,0.262334,2.06071,2.21333,0.00506163
3,3,5.75,1.964,0.375,-0.278,52.5,0.0482667,0.00241334,0.05,0.262334,2.06071,2.21333,0.00506163
3,4,5.75,1.964,0.375,-0.278,67.5,0.0374551,0.00187275,0.05,0.262334,2.06071,2.21333,0.00506163
3,5,5.75,1.964,0.375,-0.278,82.5,0.0272308,0.00136154,0.05,0.262334,2.06071,2.21333,0.00506163
3,6,5.75,1.964,0.375,-0.278,97.5,0.0180113,0.000900563,0.05,0.262334,2.06071,2.21333,0.00506163
3,7,5.75,1.964,0.375,-0.278,112.5,0.0140488,0.000702439,0.05,0.262334,2.06071,2.21333,0.00506163
3,8,5.75,1.964,0.375,-0.278,127.5,0.0128933,0.000644665,0.05,0.262334,2.06071,2.21333,0.00506163
3,9,5.75,1.964,0.375,-0.278,142.5,0.0107015,0.000535074,0.05,0.262334,2.06071,2.21333,0.00506163
3,10,5.75,1.964,0.375,-0.278,157.5,0.00916369,0.000458184,0.05,0.262334,2.06071,2.21333,0.00506163
3,11,5.75,1.964,0.375,-0.278,172.5,0.00840824,0.000420412,0.05,0.262334,2.06071,2.21333,0.00506163
3,12,5.75,1.964,0.375,-0.278,187.5,0.00816689,0.000408344,0.05,0.262334,2.06071,2.21333,0.00506163
3,13,5.75,1.964,0.375,-0.278,202.5,0.00897838,0.000448919,0.05,0.262334,2.06071,2.21333,0.00506163
3,14,5.75,1.964,0.375,-0.278,217.5,0.010195,0.000509751,0.05,0.262334,2.06071,2.21333,0.00506163
3,15,5.75,1.964,0.375,-0.278,232.5,0.0128986,0.000644931,0.05,0.262334,2.06071,2.21333,0.00506163
3,16,5.75,1.964,0.375,-0.278,247.5,0.0145954,0.000729772,0.05,0.262334,2.06071,2.21333,0.00506163
3,17,5.75,1.964,0.375,-0.278,262.5,0.0206706,0.00103353,0.05,0.262334,2.06071,2.21333,0.00506163
3,18,5.75,1.964,0.375,-0.278,277.5,0.0286608,0.00143304,0.05,0.262334,2.06071,2.21333,0.00506163
3,19,5.75,1.964,0.375,-0.278,292.5,0.0400776,0.00200388,0.05,0.262334,2.06071,2.21333,0.00506163
3,20,5.75,1.964,0.375,-0.278,307.5,0.0493921,0.00246961,0.05,0.262334,2.06071,2.21333,0.00506163
3,21,5.75,1.964,0.375,-0.278,322.5,0.062506,0.0031253,0.05,0.262334,2.06071,2.21333,0.00506163
3,22,5.75,1.964,0.375,-0.278,337.5,0.0771145,0.00385573,0.05,0.262334,2.06071,2.21333,0.00506163
3,23,5.75,1.964,0.375,-0.278,352.5,0.086232,0.0043116,0.05,0.262334,2.06071,2.21333,0.00506163
4,0,5.75,1.986,0.379,-0.323,7.5,0.0803478,0.00401739,0.05,-0.625193,5.57494,0.272612,0.0105503
4,1,5.75,1.986,0.379,-0.323,22.5,0.067572,0.0033786,0.05,-0.625193,5.57494,0.272612,0.0105503
4,2,5.75,1.986,0.379,-0.323,37.5,0.0507097,0.00253548,0.05,-0.625193,5.57494,0.272612,0.0105503
4,3,5.75,1.986,0.379,-0.323,52.5,0.04702,0.002351,0.05,-0.625193,5.57494,0.272612,0.0105503
4,4,5.75,1.986,0.379,-0.323,67.5,0.0341689,0.00170845,0.05,-0.625193,5.57494,0.272612,0.0105503
4,5,5.75,1.986,0.379,-0.323,82.5,0.0263199,0.001316,0.05,-0.625193,5.57494,0.272612,0.0105503
4,6,5.75,1.986,0.379,-0.323,97.5,0.0221767,0.00110884,0.05,-0.625193,5.57494,0.272612,0.0105503
4,7,5.75,1.986,0.379,-0.323,112.5,0.019053,0.000952648,0.05,-0.625193,5.57494,0.272612,0.0105503
4,8,5.75,1.986,0.379,-0.323,127.5,0.0171039,0.000855196,0.05,-0.625193,5.57494,0.272612,0.0105503
4,9,5.75,1.986,0.379,-0.323,142.5,0.0165783,0.000828917,0.05,-0.625193,5.57494,0.272612,0.0105503
4,10,5.75,1.986,0.379,-0.323,157.5,0.0159899,0.000799496,0.05,-0.625193,5.57494,0.272612,0.0105503
4,11,5.75,1.986,0.379,-0.323,172.5,0.0150341,0.000751706,0.05,-0.625193,5.57494,0.272612,0.0105503
4,12,5.75,1.986,0.379,-0.323,187.5,0.0133443,0.000667216,0.05,-0.625193,5.57494,0.272612,0.0105503
4,13,5.75,1.986,0.379,-0.323,202.5,0.0147724,0.000738622,0.05,-0.625193,5.57494,0.272612,0.0105503
4,14,5.75,1.986,0.379,-0.323,217.5,0.0147288,0.00073644,0.05,-0.625193,5.57494,0.272612,0.0105503
4,15,5.75,1.986,0.379,-0.323,232.5,0.0158094,0.000790471,0.05,-0.625193,5.57494,0.272612,0.0105503
4,16,5.75,1.986,0.379,-0.323,247.5,0.0187085,0.000935427,0.05,-0.625193,5.57494,0.272612,0.0105503
4,17,5.75,1.986,0.379,-0.323,262.5,0.0222627,0.00111313,0.05,-0.625193,5.57494,0.272612,0.0105503
4,18,5.75,1.986,0.379,-0.323,277.5,0.0269818,0.00134909,0.05,-0.625193,5.57494,0.272612,0.0105503
4,19,5.75,1.986,0.379,-0.323,292.5,0.0353803,0.00176901,0.05,-0.625193,5.57494,0.272612,0.0105503
4,20,5.75,1.986,0.379,-0.323,307.5,0.0442402,0.00221201,0.05,-0.625193,5.57494,0.272612,0.0105503
4,21,5.75,1.986,0.379,-0.323,322.5,0.0544937,0.00272469,0.05,-0.625193,5.57494,0.272612,0.0105503
4,22,5.75,1.986,0.379,-0.323,337.5,0.0734125,0.00367062,0.05,-0.625193,5.57494,0.272612,0.0105503
4,23,5.75,1.986,0.379,-0.323,352.5,0.0749854,0.00374927,0.05,-0.625193,5.57494,0.272612,0.0105503
5,0,5.75,1.999,0.381,-0.371,7.5,0.0757884,0.00378942,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,1,5.75,1.999,0.381,-0.371,22.5,0.0634432,0.00317216,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,2,5.75,1.999,0.381,-0.371,37.5,0.0606229,0.00303115,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,3,5.75,1.999,0.381,-0.371,52.5,0.0501534,0.00250767,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,4,5.75,1.999,0.381,-0.371,67.5,0.0448366,0.00224183,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,5,5.75,1.999,0.381,-0.371,82.5,0.034416,0.0017208,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,6,5.75,1.999,0.381,-0.371,97.5,0.0310171,0.00155086,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,7,5.75,1.999,0.381,-0.371,112.5,0.0305097,0.00152549,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,8,5.75,1.999,0.381,-0.371,127.5,0.0294671,0.00147335,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,9,5.75,1.999,0.381,-0.371,142.5,0.0273123,0.00136562,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,10,5.75,1.999,0.381,-0.371,157.5,0.0279969,0.00139984,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,11,5.75,1.999,0.381,-0.371,172.5,0.023871,0.00119355,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,12,5.75,1.999,0.381,-0.371,187.5,0.0269211,0.00134606,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,13,5.75,1.999,0.381,-0.371,202.5,0.0239434,0.00119717,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,14,5.75,1.999,0.381,-0.371,217.5,0.0290232,0.00145116,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,15,5.75,1.999,0.381,-0.371,232.5,0.0285951,0.00142975,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,16,5.75,1.999,0.381,-0.371,247.5,0.0293766,0.00146883,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,17,5.75,1.999,0.381,-0.371,262.5,0.0344621,0.00172311,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,18,5.75,1.999,0.381,-0.371,277.5,0.0385077,0.00192538,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,19,5.75,1.999,0.381,-0.371,292.5,0.0411933,0.00205967,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,20,5.75,1.999,0.381,-0.371,307.5,0.0464419,0.00232209,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,21,5.75,1.999,0.381,-0.371,322.5,0.0573516,0.00286758,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,22,5.75,1.999,0.381,-0.371,337.5,0.0675506,0.00337753,0.05,-1.57362,7.97472,-1.71664,0.0213189
5,23,5.75,1.999,0.381,-0.371,352.5,0.0747047,0.00373523,0.05,-1.57362,7.97472,-1.71664,0.0213189
6,0,5.75,2.218,0.345,-0.176,7.5,0.159961,0.00799803,0.05,3.37914,-18.4831,7.45275,0.0127907
6,1,5.75,2.218,0.345,-0.176,22.5,0.149198,0.00745992,0.05,3.37914,-18.4831,7.45275,0.0127907
6,2,5.75,2.218,0.345,-0.176,37.5,0.12708,0.00635402,0.05,3.37914,-18.4831,7.45275,0.0127907
6,3,5.75,2.218,0.345,-0.176,52.5,0.114359,0.00571794,0.05,3.37914,-18.4831,7.45275,0.0127907
6,4,5.75,2.218,0.345,-0.176,67.5,0.091424,0.0045712,0.05,3.37914,-18.4831,7.45275,0.0127907
6,5,5.75,2.218,0.345,-0.176,82.5,0.076518,0.0038259,0.05,3.37914,-18.4831,7.45275,0.0127907
6,6,5.75,2.218,0.345,-0.176,97.5,0.0700579,0.00350289,0.05,3.37914,-18.4831,7.45275,0.0127907
6,7,5.75,2.218,0.345,-0.176,112.5,0.0600235,0.00300117,0.05,3.37914,-18.4831,7.45275,0.0127907
6,8,5.75,2.218,0.345,-0.176,127.5,0.0441928,0.00220964,0.05,3.37914,-18.4831,7.45275,0.0127907
6,9,5.75,2.218,0.345,-0.176,142.5,0.0365731,0.00182865,0.05,3.37914,-18.4831,7.45275,0.0127907
6,10,5.75,2.218,0.345,-0.176,157.5,0.0341699,0.0017085,0.05,3.37914,-18.4831,7.45275,0.0127907
6,11,5.75,2.218,0.345,-0.176,172.5,0.0346719,0.00173359,0.05,3.37914,-18.4831,7.45275,0.0127907
6,12,5.75,2.218,0.345,-0.176,187.5,0.0347599,0.001738,0.05,3.37914,-18.4831,7.45275,0.0127907
6,13,5.75,2.218,0.345,-0.176,202.5,0.0318693,0.00159347,0.05,3.37914,-18.4831,7.45275,0.0127907
6,14,5.75,2.218,0.345,-0.176,217.5,0.0405949,0.00202974,0.05,3.37914,-18.4831,7.45275,0.0127907
6,15,5.75,2.218,0.345,-0.176,232.5,0.0472283,0.00236141,0.05,3.37914,-18.4831,7.45275,0.0127907
6,16,5.75,2.218,0.345,-0.176,247.5,0.0540834,0.00270417,0.05,3.37914,-18.4831,7.45275,0.0127907
6,17,5.75,2.218,0.345,-0.176,262.5,0.0687448,0.00343724,0.05,3.37914,-18.4831,7.45275,0.0127907
6,18,5.75,2.218,0.345,-0.176,277.5,0.0772814,0.00386407,0.05,3.37914,-18.4831,7.45275,0.0127907
6,19,5.75,2.218,0.345,-0.176,292.5,0.0922282,0.00461141,0.05,3.37914,-18.4831,7.45275,0.0127907
6,20,5.75,2.218,0.345,-0.176,307.5,0.120242,0.00601209,0.05,3.37914,-18.4831,7.45275,0.0127907
6,21,5.75,2.218,0.345,-0.176,322.5,0.13587,0.00679352,0.05,3.37914,-18.4831,7.45275,0.0127907
6,22,5.75,2.218,0.345,-0.176,337.5,0.149231,0.00746155,0.05,3.37914,-18.4831,7.45275,0.0127907
6,23,5.75,2.218,0.345,-0.176,352.5,0.162631,0.00813156,0.05,3.37914,-18.4831,7.45275,0.0127907
7,0,5.75,2.318,0.363,-0.232,7.5,0.113949,0.00569745,0.05,1.55374,-4.05907,4.4941,0.00326486
7,1,5.75,2.318,0.363,-0.232,22.5,0.110582,0.00552911,0.05,1.55374,-4.05907,4.4941,0.00326486
7,2,5.75,2.318,0.363,-0.232,37.5,0.0846449,0.00423224,0.05,1.55374,-4.05907,4.4941,0.00326486
7,3,5.75,2.318,0.363,-0.232,52.5,0.0716492,0.00358246,0.05,1.55374,-4.05907,4.4941,0.00326486
7,4,5.75,2.318,0.363,-0.232,67.5,0.0535908,0.00267954,0.05,1.55374,-4.05907,4.4941,0.00326486
7,5,5.75,2.318,0.363,-0.232,82.5,0.0413583,0.00206792,0.05,1.55374,-4.05907,4.4941,0.00326486
7,6,5.75,2.318,0.363,-0.232,97.5,0.0303648,0.00151824,0.05,1.55374,-4.05907,4.4941,0.00326486
7,7,5.75,2.318,0.363,-0.232,112.5,0.0235735,0.00117868,0.05,1.55374,-4.05907,4.4941,0.00326486
7,8,5.75,2.318,0.363,-0.232,127.5,0.0179498,0.000897489,0.05,1.55374,-4.05907,4.4941,0.00326486
7,9,5.75,2.318,0.363,-0.232,142.5,0.0145117,0.000725587,0.05,1.55374,-4.05907,4.4941,0.00326486
7,10,5.75,2.318,0.363,-0.232,157.5,0.0128472,0.000642362,0.05,1.55374,-4.05907,4.4941,0.00326486
7,11,5.75,2.318,0.363,-0.232,172.5,0.0112887,0.000564436,0.05,1.55374,-4.05907,4.4941,0.00326486
7,12,5.75,2.318,0.363,-0.232,187.5,0.0125583,0.000627913,0.05,1.55374,-4.05907,4.4941,0.00326486
7,13,5.75,2.318,0.363,-0.232,202.5,0.0136782,0.000683909,0.05,1.55374,-4.05907,4.4941,0.00326486
7,14,5.75,2.318,0.363,-0.232,217.5,0.0142857,0.000714287,0.05,1.55374,-4.05907,4.4941,0.00326486
7,15,5.75,2.318,0.363,-0.232,232.5,0.0185755,0.000928776,0.05,1.55374,-4.05907,4.4941,0.00326486
7,16,5.75,2.318,0.363,-0.232,247.5,0.022991,0.00114955,0.05,1.55374,-4.05907,4.4941,0.00326486
7,17,5.75,2.318,0.363,-0.232,262.5,0.0314472,0.00157236,0.05,1.55374,-4.05907,4.4941,0.00326486
7,18,5.75,2.318,0.363,-0.232,277.5,0.0388046,0.00194023,0.05,1.55374,-4.05907,4.4941,0.00326486
7,19,5.75,2.318,0.363,-0.232,292.5,0.0546972,0.00273486,0.05,1.55374,-4.05907,4.4941,0.00326486
7,20,5.75,2.318,0.363,-0.232,307.5,0.0681999,0.00340999,0.05,1.55374,-4.05907,4.4941,0.00326486
7,21,5.75,2.318,0.363,-0.232,322.5,0.0897316,0.00448658,0.05,1.55374,-4.05907,4.4941,0.00326486
7,22,5.75,2.318,0.363,-0.232,337.5,0.102213,0.00511064,0.05,1.55374,-4.05907,4.4941,0.00326486
7,23,5.75,2.318,0.363,-0.232,352.5,0.120595,0.00602976,0.05,1.55374,-4.05907,4.4941,0.00326486
8,0,5.75,2.348,0.368,-0.279,7.5,0.097396,0.0048698,0.05,0.644448,1.8733,2.42696,0.00271668
8,1,5.75,2.348,0.368,-0.279,22.5,0.0851596,0.00425798,0.05,0.644448,1.8733,2.42696,0.00271668
8,2,5.75,2.348,0.368,-0.279,37.5,0.0672324,0.00336162,0.05,0.644448,1.8733,2.42696,0.00271668
8,3,5.75,2.348,0.368,-0.279,52.5,0.0531895,0.00265947,0.05,0.644448,1.8733,2.42696,0.00271668
8,4,5.75,2.348,0.368,-0.279,67.5,0.0402855,0.00201427,0.05,0.644448,1.8733,2.42696,0.00271668
8,5,5.75,2.348,0.368,-0.279,82.5,0.0293546,0.00146773,0.05,0.644448,1.8733,2.42696,0.00271668
8,6,5.75,2.348,0.368,-0.279,97.5,0.020652,0.0010326,0.05,0.644448,1.8733,2.42696,0.00271668
8,7,5.75,2.348,0.368,-0.279,112.5,0.016297,0.000814851,0.05,0.644448,1.8733,2.42696,0.00271668
8,8,5.75,2.348,0.368,-0.279,127.5,0.0135077,0.000675386,0.05,0.644448,1.8733,2.42696,0.00271668
8,9,5.75,2.348,0.368,-0.279,142.5,0.00962772,0.000481386,0.05,0.644448,1.8733,2.42696,0.00271668
8,10,5.75,2.348,0.368,-0.279,157.5,0.00868849,0.000434425,0.05,0.644448,1.8733,2.42696,0.00271668
8,11,5.75,2.348,0.368,-0.279,172.5,0.00791998,0.000395999,0.05,0.644448,1.8733,2.42696,0.00271668
8,12,5.75,2.348,0.368,-0.279,187.5,0.00844185,0.000422093,0.05,0.644448,1.8733,2.42696,0.00271668
8,13,5.75,2.348,0.368,-0.279,202.5,0.00981583,0.000490791,0.05,0.644448,1.8733,2.42696,0.00271668
8,14,5.75,2.348,0.368,-0.279,217.5,0.0108415,0.000542076,0.05,0.644448,1.8733,2.42696,0.00271668
8,15,5.75,2.348,0.368,-0.279,232.5,0.0130164,0.000650818,0.05,0.644448,1.8733,2.42696,0.00271668
8,16,5.75,2.348,0.368,-0.279,247.5,0.0161421,0.000807104,0.05,0.644448,1.8733,2.42696,0.00271668
8,17,5.75,2.348,0.368,-0.279,262.5,0.0223602,0.00111801,0.05,0.644448,1.8733,2.42696,0.00271668
8,18,5.75,2.348,0.368,-0.279,277.5,0.0302087,0.00151043,0.05,0.644448,1.8733,2.42696,0.00271668
8,19,5.75,2.348,0.368,-0.279,292.5,0.0384154,0.00192077,0.05,0.644448,1.8733,2.42696,0.00271668
8,20,5.75,2.348,0.368,-0.279,307.5,0.0498043,0.00249021,0.05,0.644448,1.8733,2.42696,0.00271668
8,21,5.75,2.348,0.368,-0.279,322.5,0.068253,0.00341265,0.05,0.644448,1.8733,2.42696,0.00271668
8,22,5.75,2.348,0.368,-0.279,337.5,0.0872396,0.00436198,0.05,0.644448,1.8733,2.42696,0.00271668
8,23,5.75,2.348,0.368,-0.279,352.5,0.0974842,0.00487421,0.05,0.644448,1.8733,2.42696,0.00271668
9,0,5.75,2.36,0.371,-0.325,7.5,0.098593,0.00492965,0.05,-0.217397,5.37254,0.477089,0.00521659
9,1,5.75,2.36,0.371,-0.325,22.5,0.0785021,0.0039251,0.05,-0.217397,5.37254,0.477089,0.00521659
9,2,5.75,2.36,0.371,-0.325,37.5,0.0597236,0.00298618,0.05,-0.217397,5.37254,0.477089,0.00521659
9,3,5.75,2.36,0.371,-0.325,52.5,0.0397404,0.00198702,0.05,-0.217397,5.37254,0.477089,0.00521659
9,4,5.75,2.36,0.371,-0.325,67.5,0.0322192,0.00161096,0.05,-0.217397,5.37254,0.477089,0.00521659
9,5,5.75,2.36,0.371,-0.325,82.5,0.027045,0.00135225,0.05,-0.217397,5.37254,0.477089,0.00521659
9,6,5.75,2.36,0.371,-0.325,97.5,0.0204067,0.00102033,0.05,-0.217397,5.37254,0.477089,0.00521659
9,7,5.75,2.36,0.371,-0.325,112.5,0.0159866,0.000799332,0.05,-0.217397,5.37254,0.477089,0.00521659
9,8,5.75,2.36,0.371,-0.325,127.5,0.0138648,0.000693239,0.05,-0.217397,5.37254,0.477089,0.00521659
9,9,5.75,2.36,0.371,-0.325,142.5,0.0112781,0.000563903,0.05,-0.217397,5.37254,0.477089,0.00521659
9,10,5.75,2.36,0.371,-0.325,157.5,0.0109448,0.000547241,0.05,-0.217397,5.37254,0.477089,0.00521659
9,11,5.75,2.36,0.371,-0.325,172.5,0.00990911,0.000495455,0.05,-0.217397,5.37254,0.477089,0.00521659
9,12,5.75,2.36,0.371,-0.325,187.5,0.0104202,0.000521012,0.05,-0.217397,5.37254,0.477089,0.00521659
9,13,5.75,2.36,0.371,-0.325,202.5,0.0115866,0.000579329,0.05,-0.217397,5.37254,0.477089,0.00521659
9,14,5.75,2.36,0.371,-0.325,217.5,0.0123472,0.000617362,0.05,-0.217397,5.37254,0.477089,0.00521659
9,15,5.75,2.36,0.371,-0.325,232.5,0.0130833,0.000654163,0.05,-0.217397,5.37254,0.477089,0.00521659
9,16,5.75,2.36,0.371,-0.325,247.5,0.0154924,0.000774622,0.05,-0.217397,5.37254,0.477089,0.00521659
9,17,5.75,2.36,0.371,-0.325,262.5,0.018608,0.000930398,0.05,-0.217397,5.37254,0.477089,0.00521659
9,18,5.75,2.36,0.371,-0.325,277.5,0.0253917,0.00126958,0.05,-0.217397,5.37254,0.477089,0.00521659
9,19,5.75,2.36,0.371,-0.325,292.5,0.0324531,0.00162265,0.05,-0.217397,5.37254,0.477089,0.00521659
9,20,5.75,2.36,0.371,-0.325,307.5,0.0444963,0.00222481,0.05,-0.217397,5.37254,0.477089,0.00521659
9,21,5.75,2.36,0.371,-0.325,322.5,0.0604888,0.00302444,0.05,-0.217397,5.37254,0.477089,0.00521659
9,22,5.75,2.36,0.371,-0.325,337.5,0.070299,0.00351495,0.05,-0.217397,5.37254,0.477089,0.00521659
9,23,5.75,2.36,0.371,-0.325,352.5,0.0924072,0.00462036,0.05,-0.217397,5.37254,0.477089,0.00521659
10,0,5.75,2.375,0.373,-0.372,7.5,0.0800525,0.00400262,0.05,-1.15977,7.69373,-1.47517,0.0105144
10,1,5.75,2.375,0.373,-0.372,22.5,0.0700469,0.00350234,0.05,-1.15977,7.69373,-1.47517,0.0105144
10,2,5.75,2.375,0.373,-0.372,37.5,0.0515217,0.00257609,0.05,-1.15977,7.69373,-1.47517,0.0105144
10,3,5.75,2.375,0.373,-0.372,52.5,0.0438643,0.00219322,0.05,-1.15977,7.69373,-1.47517,0.0105144
10,4,5.75,2.375,0.373,-0.372,67.5,0.0312427,0.00156214,0.05,-1.15977,7.69373,-1.47517,0.0105144
