#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2,gReH,gReE,gReHTilde,gc0fit,gc1fit
2,2,5.75,2.318,0.363,-0.232,37.5,0.116833,0.00497163,0.0425532,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,3,5.75,2.318,0.363,-0.232,52.5,0.0961221,0.00429685,0.044702,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,4,5.75,2.318,0.363,-0.232,67.5,0.0772154,0.00361241,0.0467836,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,5,5.75,2.318,0.363,-0.232,82.5,0.0617691,0.00293503,0.0475162,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,6,5.75,2.318,0.363,-0.232,97.5,0.0499889,0.0023469,0.0469484,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,7,5.75,2.318,0.363,-0.232,112.5,0.0414143,0.00211178,0.0509915,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,8,5.75,2.318,0.363,-0.232,127.5,0.0354139,0.00172999,0.0488506,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,9,5.75,2.318,0.363,-0.232,142.5,0.0314153,0.00176988,0.056338,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,10,5.75,2.318,0.363,-0.232,157.5,0.0289841,0.00150079,0.0517799,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,11,5.75,2.318,0.363,-0.232,172.5,0.0278374,0.00162475,0.0583658,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,12,5.75,2.318,0.363,-0.232,187.5,0.0278374,0.00150744,0.0541516,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,13,5.75,2.318,0.363,-0.232,202.5,0.0289841,0.00156143,0.0538721,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,14,5.75,2.318,0.363,-0.232,217.5,0.0314153,0.00160078,0.0509554,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,15,5.75,2.318,0.363,-0.232,232.5,0.0354139,0.00175011,0.0494186,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,16,5.75,2.318,0.363,-0.232,247.5,0.0414143,0.00208228,0.0502793,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,17,5.75,2.318,0.363,-0.232,262.5,0.0499889,0.00235797,0.0471698,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,18,5.75,2.318,0.363,-0.232,277.5,0.0617691,0.00295479,0.047836,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,19,5.75,2.318,0.363,-0.232,292.5,0.0772154,0.00325266,0.0421245,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,20,5.75,2.318,0.363,-0.232,307.5,0.0961221,0.00394814,0.0410742,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,21,5.75,2.318,0.363,-0.232,322.5,0.116833,0.0050721,0.0434132,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,22,5.75,2.318,0.363,-0.232,337.5,0.135576,0.00594949,0.043883,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
2,23,5.75,2.318,0.363,-0.232,352.5,0.147037,0.00665757,0.0452781,0.613509,0.944741,5.64594,-14.2209,2.9095,0.0162858,0
3,0,5.75,2.348,0.368,-0.279,7.5,0.170635,0.0107608,0.0630631,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,1,5.75,2.348,0.368,-0.279,22.5,0.153407,0.00853444,0.0556328,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,2,5.75,2.348,0.368,-0.279,37.5,0.127091,0.00701193,0.0551724,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,3,5.75,2.348,0.368,-0.279,52.5,0.100549,0.005841,0.0580913,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,4,5.75,2.348,0.368,-0.279,67.5,0.078548,0.00446719,0.056872,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,5,5.75,2.348,0.368,-0.279,82.5,0.0621489,0.00347024,0.0558376,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,6,5.75,2.348,0.368,-0.279,97.5,0.0506385,0.00326147,0.0644068,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,7,5.75,2.348,0.368,-0.279,112.5,0.042855,0.00253845,0.0592334,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,8,5.75,2.348,0.368,-0.279,127.5,0.0377461,0.00237896,0.0630252,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,9,5.75,2.348,0.368,-0.279,142.5,0.0345194,0.00208787,0.0604839,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,10,5.75,2.348,0.368,-0.279,157.5,0.0326368,0.00203187,0.0622568,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,11,5.75,2.348,0.368,-0.279,172.5,0.0317721,0.00197803,0.0622568,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,12,5.75,2.348,0.368,-0.279,187.5,0.0317721,0.0023135,0.0728155,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,13,5.75,2.348,0.368,-0.279,202.5,0.0326368,0.00236499,0.0724638,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,14,5.75,2.348,0.368,-0.279,217.5,0.0345194,0.00213963,0.0619835,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,15,5.75,2.348,0.368,-0.279,232.5,0.0377461,0.00213406,0.0565371,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,16,5.75,2.348,0.368,-0.279,247.5,0.042855,0.00267844,0.0625,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,17,5.75,2.348,0.368,-0.279,262.5,0.0506385,0.00287537,0.0567823,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,18,5.75,2.348,0.368,-0.279,277.5,0.0621489,0.00354125,0.0569801,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,19,5.75,2.348,0.368,-0.279,292.5,0.078548,0.00413411,0.0526316,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,20,5.75,2.348,0.368,-0.279,307.5,0.100549,0.00528174,0.0525292,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,21,5.75,2.348,0.368,-0.279,322.5,0.127091,0.00717052,0.0564202,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,22,5.75,2.348,0.368,-0.279,337.5,0.153407,0.00945287,0.0616197,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
3,23,5.75,2.348,0.368,-0.279,352.5,0.170635,0.0116601,0.0683333,0.567411,0.848808,8.05495,-14.7979,3.1905,0.0283063,0
4,0,5.75,2.36,0.371,-0.325,7.5,0.204712,0.018323,0.0895062,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,1,5.75,2.36,0.371,-0.325,22.5,0.180049,0.0146551,0.0813953,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,2,5.75,2.36,0.371,-0.325,37.5,0.144953,0.0116511,0.0803783,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,3,5.75,2.36,0.371,-0.325,52.5,0.112583,0.00861606,0.0765306,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,4,5.75,2.36,0.371,-0.325,67.5,0.0880477,0.00622076,0.0706522,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,5,5.75,2.36,0.371,-0.325,82.5,0.0711979,0.00547676,0.0769231,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,6,5.75,2.36,0.371,-0.325,97.5,0.060212,0.00455788,0.0756972,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,7,5.75,2.36,0.371,-0.325,112.5,0.0532643,0.00372631,0.0699588,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,8,5.75,2.36,0.371,-0.325,127.5,0.0489746,0.00357805,0.0730594,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,9,5.75,2.36,0.371,-0.325,142.5,0.0464092,0.00342925,0.0738916,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,10,5.75,2.36,0.371,-0.325,157.5,0.0449784,0.00355092,0.0789474,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,11,5.75,2.36,0.371,-0.325,172.5,0.0443407,0.0034777,0.0784314,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,12,5.75,2.36,0.371,-0.325,187.5,0.0443407,0.00367464,0.0828729,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,13,5.75,2.36,0.371,-0.325,202.5,0.0449784,0.00315638,0.0701754,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,14,5.75,2.36,0.371,-0.325,217.5,0.0464092,0.00364471,0.078534,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,15,5.75,2.36,0.371,-0.325,232.5,0.0489746,0.00335443,0.0684932,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,16,5.75,2.36,0.371,-0.325,247.5,0.0532643,0.00409726,0.0769231,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,17,5.75,2.36,0.371,-0.325,262.5,0.060212,0.00446886,0.0742187,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,18,5.75,2.36,0.371,-0.325,277.5,0.0711979,0.00474653,0.0666667,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,19,5.75,2.36,0.371,-0.325,292.5,0.0880477,0.00580534,0.0659341,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,20,5.75,2.36,0.371,-0.325,307.5,0.112583,0.00759937,0.0675,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,21,5.75,2.36,0.371,-0.325,322.5,0.144953,0.00936961,0.0646388,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,22,5.75,2.36,0.371,-0.325,337.5,0.180049,0.0148694,0.0825853,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
4,23,5.75,2.36,0.371,-0.325,352.5,0.204712,0.0197438,0.0964467,0.527896,0.768459,10.8378,-15.2266,3.457,0.0464848,0
5,0,5.75,2.375,0.373,-0.372,7.5,0.251979,0.0349278,0.138614,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,1,5.75,2.375,0.373,-0.372,22.5,0.217333,0.0249853,0.114964,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,2,5.75,2.375,0.373,-0.372,37.5,0.171716,0.0170883,0.0995146,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,3,5.75,2.375,0.373,-0.372,52.5,0.133344,0.0113411,0.0850515,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,4,5.75,2.375,0.373,-0.372,67.5,0.106683,0.00940254,0.0881356,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,5,5.75,2.375,0.373,-0.372,82.5,0.0897363,0.00829495,0.092437,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,6,5.75,2.375,0.373,-0.372,97.5,0.0794346,0.00743476,0.0935961,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,7,5.75,2.375,0.373,-0.372,112.5,0.073337,0.00706863,0.0963855,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,8,5.75,2.375,0.373,-0.372,127.5,0.0698088,0.00634625,0.0909091,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,9,5.75,2.375,0.373,-0.372,142.5,0.0678282,0.00637312,0.0939597,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,10,5.75,2.375,0.373,-0.372,157.5,0.0667849,0.00715553,0.107143,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,11,5.75,2.375,0.373,-0.372,172.5,0.066339,0.00823185,0.124088,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,12,5.75,2.375,0.373,-0.372,187.5,0.066339,0.00746863,0.112583,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,13,5.75,2.375,0.373,-0.372,202.5,0.0667849,0.00639855,0.0958084,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,14,5.75,2.375,0.373,-0.372,217.5,0.0678282,0.00668729,0.0985915,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,15,5.75,2.375,0.373,-0.372,232.5,0.0698088,0.00551122,0.0789474,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,16,5.75,2.375,0.373,-0.372,247.5,0.073337,0.00673908,0.0918919,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,17,5.75,2.375,0.373,-0.372,262.5,0.0794346,0.00729501,0.0918367,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,18,5.75,2.375,0.373,-0.372,277.5,0.0897363,0.00741622,0.0826446,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,19,5.75,2.375,0.373,-0.372,292.5,0.106683,0.00854829,0.0801282,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,20,5.75,2.375,0.373,-0.372,307.5,0.133344,0.0116125,0.0870871,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,21,5.75,2.375,0.373,-0.372,322.5,0.171716,0.0150959,0.0879121,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,22,5.75,2.375,0.373,-0.372,337.5,0.217333,0.025198,0.115942,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
5,23,5.75,2.375,0.373,-0.372,352.5,0.251979,0.0395708,0.15704,0.492199,0.697614,14.1167,-15.5869,3.7245,0.0728462,0
